ad_source,platform,country,new_customers,total_spend_usd,cac_usd,first_purchase_date,last_purchase_date
affiliate,ios,MT,24,131705.77,5487.74,2025-11-13,2025-11-25
affiliate,ios,NL,14,135195.85,9656.85,2025-11-14,2025-11-24
affiliate,ios,PL,17,130931.46,7701.85,2025-11-12,2025-11-25
affiliate,ios,PT,16,102758.5,6422.41,2025-11-13,2025-11-24
affiliate,ios,RO,19,116074.8,6109.2,2025-11-12,2025-11-25
affiliate,ios,SE,16,116637.96,7289.87,2025-11-12,2025-11-25
affiliate,ios,SI,15,114223.6,7614.91,2025-11-12,2025-11-25
affiliate,ios,SK,18,103570.95,5753.94,2025-11-12,2025-11-25
facebook,android,AT,18,109149.52,6063.86,2025-11-12,2025-11-23
facebook,android,BE,13,106561.76,8197.06,2025-11-12,2025-11-25
facebook,android,BG,19,117849.35,6202.6,2025-11-13,2025-11-24
facebook,android,CY,23,115050.22,5002.18,2025-11-12,2025-11-25
facebook,android,CZ,18,108494.25,6027.46,2025-11-13,2025-11-23
facebook,android,DE,16,134120.35,8382.52,2025-11-12,2025-11-24
facebook,android,DK,15,122450.6,8163.37,2025-11-12,2025-11-25
facebook,android,EE,18,120300.76,6683.38,2025-11-13,2025-11-24
facebook,android,ES,13,98982.87,7614.07,2025-11-12,2025-11-25
facebook,android,FI,15,95900.41,6393.36,2025-11-12,2025-11-22
facebook,android,FR,17,115958.12,6821.07,2025-11-12,2025-11-22
facebook,android,GR,9,97938.33,10882.04,2025-11-12,2025-11-22
facebook,android,HR,25,96266.43,3850.66,2025-11-12,2025-11-25
facebook,android,HU,19,123160.81,6482.15,2025-11-12,2025-11-24
facebook,android,IE,17,107950.63,6350.04,2025-11-12,2025-11-25
facebook,android,IT,17,131390.78,7728.87,2025-11-13,2025-11-23
facebook,android,LT,17,116796.24,6870.37,2025-11-12,2025-11-24
facebook,android,LU,18,133562.83,7420.16,2025-11-12,2025-11-25
facebook,android,LV,16,73316.11,4582.26,2025-11-12,2025-11-23
facebook,android,MT,16,116633.14,7289.57,2025-11-12,2025-11-25
facebook,android,NL,15,112429.62,7495.31,2025-11-12,2025-11-24
facebook,android,PL,10,98615.78,9861.58,2025-11-12,2025-11-23
facebook,android,PT,16,95217.31,5951.08,2025-11-12,2025-11-24
facebook,android,RO,9,116706.94,12967.44,2025-11-12,2025-11-21
facebook,android,SE,12,144344.65,12028.72,2025-11-12,2025-11-24
facebook,android,SI,16,121508.65,7594.29,2025-11-12,2025-11-24
facebook,android,SK,25,100647.04,4025.88,2025-11-12,2025-11-24
facebook,ios,AT,13,108521.53,8347.81,2025-11-12,2025-11-22
facebook,ios,BE,17,90473.78,5321.99,2025-11-12,2025-11-24
facebook,ios,BG,17,101569.12,5974.65,2025-11-12,2025-11-25
facebook,ios,CY,12,122713.3,10226.11,2025-11-12,2025-11-22
facebook,ios,CZ,14,99761.47,7125.82,2025-11-13,2025-11-22
facebook,ios,DE,18,122313.35,6795.19,2025-11-12,2025-11-22
facebook,ios,DK,14,99312.09,7093.72,2025-11-12,2025-11-21
facebook,ios,EE,14,111138.6,7938.47,2025-11-12,2025-11-24
facebook,ios,ES,13,133516.88,10270.53,2025-11-13,2025-11-25
facebook,ios,FI,24,109025.09,4542.71,2025-11-12,2025-11-24
facebook,ios,FR,22,111713.07,5077.87,2025-11-12,2025-11-25
facebook,ios,GR,18,139947.05,7774.84,2025-11-12,2025-11-24
facebook,ios,HR,15,80260.57,5350.7,2025-11-13,2025-11-23
facebook,ios,HU,23,121517.29,5283.36,2025-11-13,2025-11-25
facebook,ios,IE,15,107567.93,7171.2,2025-11-13,2025-11-24
facebook,ios,IT,18,89351.98,4964.0,2025-11-12,2025-11-25
facebook,ios,LT,24,121872.2,5078.01,2025-11-12,2025-11-25
facebook,ios,LU,19,121056.22,6371.38,2025-11-12,2025-11-23
facebook,ios,LV,13,109815.21,8447.32,2025-11-12,2025-11-22
facebook,ios,MT,9,86870.21,9652.25,2025-11-13,2025-11-22
facebook,ios,NL,21,79951.97,3807.24,2025-11-13,2025-11-24
facebook,ios,PL,19,109401.95,5758.0,2025-11-12,2025-11-25
facebook,ios,PT,20,124028.87,6201.44,2025-11-12,2025-11-23
facebook,ios,RO,20,103185.68,5159.28,2025-11-12,2025-11-22
facebook,ios,SE,16,109153.65,6822.1,2025-11-12,2025-11-22
facebook,ios,SI,11,109490.18,9953.65,2025-11-12,2025-11-21
facebook,ios,SK,9,142760.84,15862.32,2025-11-12,2025-11-25
google,android,AT,11,113959.56,10359.96,2025-11-13,2025-11-24
google,android,BE,12,80218.54,6684.88,2025-11-14,2025-11-22
google,android,BG,15,123527.91,8235.19,2025-11-12,2025-11-24
google,android,CY,17,124897.64,7346.92,2025-11-12,2025-11-20
google,android,CZ,23,109303.53,4752.33,2025-11-13,2025-11-22
google,android,DE,5,106878.43,21375.69,2025-11-15,2025-11-22
google,android,DK,22,119545.83,5433.9,2025-11-12,2025-11-25
google,android,EE,14,110995.48,7928.25,2025-11-12,2025-11-25
google,android,ES,15,106000.64,7066.71,2025-11-13,2025-11-23
google,android,FI,12,110834.27,9236.19,2025-11-12,2025-11-24
google,android,FR,10,112314.88,11231.49,2025-11-13,2025-11-25
google,android,GR,15,122060.96,8137.4,2025-11-12,2025-11-23
google,android,HR,15,108751.84,7250.12,2025-11-12,2025-11-22
google,android,HU,16,108541.06,6783.82,2025-11-12,2025-11-24
google,android,IE,20,109202.0,5460.1,2025-11-12,2025-11-24
google,android,IT,14,143728.36,10266.31,2025-11-12,2025-11-23
google,android,LT,12,109089.44,9090.79,2025-11-13,2025-11-22
google,android,LU,17,126071.27,7415.96,2025-11-12,2025-11-25
google,android,LV,17,84979.44,4998.79,2025-11-13,2025-11-25
google,android,MT,13,102613.74,7893.36,2025-11-13,2025-11-25
google,android,NL,16,100303.32,6268.96,2025-11-12,2025-11-25
google,android,PL,14,122073.1,8719.51,2025-11-12,2025-11-25
google,android,PT,16,90194.11,5637.13,2025-11-12,2025-11-25
google,android,RO,19,119864.59,6308.66,2025-11-12,2025-11-25
google,android,SE,17,89310.73,5253.57,2025-11-14,2025-11-24
google,android,SI,18,125922.4,6995.69,2025-11-12,2025-11-24
google,android,SK,25,79440.47,3177.62,2025-11-12,2025-11-24
google,ios,AT,18,98149.87,5452.77,2025-11-12,2025-11-25
google,ios,BE,25,107778.36,4311.13,2025-11-12,2025-11-24
google,ios,BG,13,111834.4,8602.65,2025-11-12,2025-11-24
google,ios,CY,13,88974.74,6844.21,2025-11-12,2025-11-25
google,ios,CZ,13,73863.85,5681.83,2025-11-12,2025-11-24
google,ios,DE,15,116365.47,7757.7,2025-11-12,2025-11-24
google,ios,DK,10,107279.91,10727.99,2025-11-12,2025-11-23
google,ios,EE,19,100319.3,5279.96,2025-11-12,2025-11-24
google,ios,ES,19,134530.47,7080.55,2025-11-12,2025-11-23
google,ios,FI,19,108100.67,5689.51,2025-11-12,2025-11-24
google,ios,FR,15,134498.11,8966.54,2025-11-12,2025-11-25
google,ios,GR,15,112350.01,7490.0,2025-11-12,2025-11-25
google,ios,HR,14,112362.41,8025.89,2025-11-12,2025-11-25
google,ios,HU,23,102777.76,4468.6,2025-11-12,2025-11-25
google,ios,IE,15,101910.99,6794.07,2025-11-12,2025-11-24
google,ios,IT,21,113796.88,5418.9,2025-11-12,2025-11-25
google,ios,LT,15,93312.65,6220.84,2025-11-12,2025-11-22
google,ios,LU,18,86012.64,4778.48,2025-11-12,2025-11-25
google,ios,LV,20,103291.52,5164.58,2025-11-13,2025-11-24
google,ios,MT,23,108375.08,4711.96,2025-11-12,2025-11-25
google,ios,NL,15,96890.79,6459.39,2025-11-12,2025-11-22
google,ios,PL,12,98665.76,8222.15,2025-11-12,2025-11-25
google,ios,PT,16,107878.11,6742.38,2025-11-12,2025-11-25
google,ios,RO,18,125997.23,6999.85,2025-11-12,2025-11-23
google,ios,SE,8,137938.36,17242.29,2025-11-12,2025-11-23
google,ios,SI,17,95521.92,5618.94,2025-11-12,2025-11-24
google,ios,SK,17,124897.86,7346.93,2025-11-12,2025-11-25
instagram,android,AT,13,120040.52,9233.89,2025-11-12,2025-11-25
instagram,android,BE,18,120378.5,6687.69,2025-11-12,2025-11-23
instagram,android,BG,11,95657.08,8696.1,2025-11-12,2025-11-25
instagram,android,CY,20,119448.51,5972.43,2025-11-12,2025-11-23
instagram,android,CZ,22,94285.62,4285.71,2025-11-12,2025-11-25
instagram,android,DE,16,93860.34,5866.27,2025-11-13,2025-11-25
instagram,android,DK,9,104402.74,11600.3,2025-11-12,2025-11-22
instagram,android,EE,15,97076.55,6471.77,2025-11-12,2025-11-25
instagram,android,ES,21,116270.08,5536.67,2025-11-12,2025-11-25
instagram,android,FI,17,135129.71,7948.81,2025-11-12,2025-11-24
instagram,android,FR,24,91577.95,3815.75,2025-11-13,2025-11-25
instagram,android,GR,13,85278.37,6559.87,2025-11-13,2025-11-25
instagram,android,HR,15,112336.07,7489.07,2025-11-12,2025-11-24
instagram,android,HU,14,114971.19,8212.23,2025-11-12,2025-11-25
instagram,android,IE,14,99418.15,7101.3,2025-11-13,2025-11-22
instagram,android,IT,13,141599.21,10892.25,2025-11-12,2025-11-25
instagram,android,LT,26,131536.75,5059.11,2025-11-12,2025-11-25
instagram,android,LU,9,94131.16,10459.02,2025-11-13,2025-11-23
instagram,android,LV,9,99639.71,11071.08,2025-11-13,2025-11-23
instagram,android,MT,10,130171.76,13017.18,2025-11-12,2025-11-24
instagram,android,NL,16,112147.04,7009.19,2025-11-12,2025-11-21
instagram,android,PL,12,101391.23,8449.27,2025-11-13,2025-11-23
instagram,android,PT,12,111849.23,9320.77,2025-11-13,2025-11-24
instagram,android,RO,11,138541.32,12594.67,2025-11-12,2025-11-21
instagram,android,SE,17,79257.17,4662.19,2025-11-13,2025-11-25
instagram,android,SI,29,116126.97,4004.38,2025-11-12,2025-11-24
instagram,android,SK,19,97335.35,5122.91,2025-11-12,2025-11-25
instagram,ios,AT,21,120980.43,5760.97,2025-11-13,2025-11-24
instagram,ios,BE,18,113795.15,6321.95,2025-11-12,2025-11-25
instagram,ios,BG,15,132303.59,8820.24,2025-11-12,2025-11-25
instagram,ios,CY,14,118777.95,8484.14,2025-11-12,2025-11-25
instagram,ios,CZ,11,113331.18,10302.83,2025-11-12,2025-11-24
instagram,ios,DE,21,78008.66,3714.7,2025-11-12,2025-11-25
instagram,ios,DK,10,107165.24,10716.52,2025-11-13,2025-11-21
instagram,ios,EE,23,113039.36,4914.75,2025-11-12,2025-11-24
instagram,ios,ES,14,116775.74,8341.12,2025-11-13,2025-11-23
instagram,ios,FI,11,124952.48,11359.32,2025-11-12,2025-11-24
instagram,ios,FR,14,105503.28,7535.95,2025-11-12,2025-11-25
instagram,ios,GR,13,88081.89,6775.53,2025-11-12,2025-11-25
instagram,ios,HR,13,118738.68,9133.74,2025-11-13,2025-11-25
instagram,ios,HU,16,93687.26,5855.45,2025-11-12,2025-11-25
instagram,ios,IE,18,96007.7,5333.76,2025-11-12,2025-11-25
instagram,ios,IT,15,109966.05,7331.07,2025-11-12,2025-11-23
instagram,ios,LT,8,110287.13,13785.89,2025-11-12,2025-11-24
instagram,ios,LU,18,117031.17,6501.73,2025-11-12,2025-11-25
instagram,ios,LV,12,98245.54,8187.13,2025-11-12,2025-11-25
instagram,ios,MT,12,113582.03,9465.17,2025-11-12,2025-11-25
instagram,ios,NL,19,109119.36,5743.12,2025-11-12,2025-11-23
instagram,ios,PL,17,100090.88,5887.7,2025-11-12,2025-11-24
instagram,ios,PT,16,106152.0,6634.5,2025-11-12,2025-11-24
instagram,ios,RO,19,106443.39,5602.28,2025-11-12,2025-11-25
instagram,ios,SE,18,107164.52,5953.58,2025-11-12,2025-11-25
instagram,ios,SI,15,90273.36,6018.22,2025-11-12,2025-11-21
instagram,ios,SK,18,81402.82,4522.38,2025-11-12,2025-11-25
tiktok,android,AT,16,121197.17,7574.82,2025-11-13,2025-11-25
tiktok,android,BE,17,123146.75,7243.93,2025-11-12,2025-11-23
tiktok,android,BG,15,101508.96,6767.26,2025-11-12,2025-11-25
tiktok,android,CY,14,118096.06,8435.43,2025-11-12,2025-11-24
tiktok,android,CZ,20,108002.45,5400.12,2025-11-12,2025-11-25
tiktok,android,DE,20,125256.76,6262.84,2025-11-12,2025-11-25
tiktok,android,DK,18,93586.74,5199.26,2025-11-12,2025-11-23
tiktok,android,EE,19,126048.37,6634.12,2025-11-12,2025-11-24
tiktok,android,ES,28,97244.02,3473.0,2025-11-12,2025-11-25
tiktok,android,FI,16,127133.93,7945.87,2025-11-12,2025-11-24
tiktok,android,FR,17,124034.98,7296.18,2025-11-13,2025-11-25
tiktok,android,GR,8,105279.83,13159.98,2025-11-13,2025-11-24
tiktok,android,HR,17,95761.37,5633.02,2025-11-12,2025-11-22
tiktok,android,HU,24,82708.87,3446.2,2025-11-13,2025-11-24
tiktok,android,IE,14,122544.06,8753.15,2025-11-12,2025-11-23
tiktok,android,IT,14,114439.51,8174.25,2025-11-12,2025-11-25
tiktok,android,LT,16,116344.87,7271.55,2025-11-12,2025-11-24
tiktok,android,LU,15,147171.98,9811.47,2025-11-12,2025-11-25
tiktok,android,LV,21,75195.33,3580.73,2025-11-12,2025-11-24
tiktok,android,MT,15,74068.5,4937.9,2025-11-14,2025-11-25
tiktok,android,NL,25,82819.02,3312.76,2025-11-12,2025-11-25
tiktok,android,PL,22,133085.27,6049.33,2025-11-12,2025-11-23
tiktok,android,PT,14,112274.85,8019.63,2025-11-12,2025-11-25
tiktok,android,RO,20,105910.5,5295.52,2025-11-13,2025-11-25
tiktok,android,SE,15,115184.24,7678.95,2025-11-12,2025-11-24
tiktok,android,SI,22,118356.73,5379.85,2025-11-12,2025-11-24
tiktok,android,SK,14,107500.74,7678.62,2025-11-13,2025-11-22
tiktok,ios,AT,18,114980.81,6387.82,2025-11-12,2025-11-25
tiktok,ios,BE,12,93373.84,7781.15,2025-11-12,2025-11-24
tiktok,ios,BG,16,113721.13,7107.57,2025-11-12,2025-11-25
tiktok,ios,CY,16,114574.94,7160.93,2025-11-14,2025-11-25
tiktok,ios,CZ,15,91569.09,6104.61,2025-11-12,2025-11-23
tiktok,ios,DE,19,109428.15,5759.38,2025-11-12,2025-11-24
tiktok,ios,DK,16,100939.5,6308.72,2025-11-13,2025-11-23
tiktok,ios,EE,17,111809.77,6577.05,2025-11-12,2025-11-21
tiktok,ios,ES,12,115150.76,9595.9,2025-11-13,2025-11-22
tiktok,ios,FI,15,96080.35,6405.36,2025-11-12,2025-11-23
tiktok,ios,FR,15,125174.19,8344.95,2025-11-12,2025-11-22
tiktok,ios,GR,21,106144.11,5054.48,2025-11-12,2025-11-24
tiktok,ios,HR,17,90146.08,5302.71,2025-11-13,2025-11-25
tiktok,ios,HU,17,134781.48,7928.32,2025-11-12,2025-11-24
tiktok,ios,IE,16,109704.03,6856.5,2025-11-12,2025-11-25
tiktok,ios,IT,13,106898.08,8222.93,2025-11-12,2025-11-25
tiktok,ios,LT,17,109298.97,6429.35,2025-11-12,2025-11-23
tiktok,ios,LU,17,91028.48,5354.62,2025-11-13,2025-11-23
tiktok,ios,LV,19,86389.56,4546.82,2025-11-12,2025-11-24
tiktok,ios,MT,19,98669.17,5193.11,2025-11-12,2025-11-25
tiktok,ios,NL,22,92756.44,4216.2,2025-11-12,2025-11-24
tiktok,ios,PL,8,100727.39,12590.92,2025-11-12,2025-11-21
tiktok,ios,PT,17,89195.29,5246.78,2025-11-12,2025-11-24
tiktok,ios,RO,11,126653.72,11513.97,2025-11-13,2025-11-23
tiktok,ios,SE,19,98618.78,5190.46,2025-11-12,2025-11-25
tiktok,ios,SI,18,107697.21,5983.18,2025-11-12,2025-11-25
tiktok,ios,SK,14,88109.82,6293.56,2025-11-12,2025-11-23
twitter,android,AT,20,95913.72,4795.69,2025-11-13,2025-11-24
twitter,android,BE,15,89764.38,5984.29,2025-11-12,2025-11-22
twitter,android,BG,9,111196.24,12355.14,2025-11-13,2025-11-22
twitter,android,CY,17,119974.13,7057.3,2025-11-12,2025-11-25
twitter,android,CZ,12,104120.95,8676.75,2025-11-12,2025-11-24
twitter,android,DE,18,104662.48,5814.58,2025-11-12,2025-11-25
twitter,android,DK,19,99072.26,5214.33,2025-11-12,2025-11-24
twitter,android,EE,17,108954.52,6409.09,2025-11-12,2025-11-21
twitter,android,ES,16,96367.2,6022.95,2025-11-12,2025-11-24
twitter,android,FI,12,86926.85,7243.9,2025-11-12,2025-11-24
twitter,android,FR,19,95928.61,5048.87,2025-11-12,2025-11-24
twitter,android,GR,21,114938.72,5473.27,2025-11-12,2025-11-24
twitter,android,HR,11,118373.84,10761.26,2025-11-12,2025-11-24
twitter,android,HU,18,101511.92,5639.55,2025-11-12,2025-11-23
twitter,android,IE,13,140991.6,10845.51,2025-11-12,2025-11-24
twitter,android,IT,7,112285.04,16040.72,2025-11-13,2025-11-23
twitter,android,LT,14,90162.58,6440.18,2025-11-12,2025-11-25
twitter,android,LU,11,111085.97,10098.72,2025-11-13,2025-11-24
twitter,android,LV,9,117841.52,13093.5,2025-11-15,2025-11-25
twitter,android,MT,10,120424.98,12042.5,2025-11-12,2025-11-22
twitter,android,NL,11,123340.64,11212.79,2025-11-12,2025-11-23
twitter,android,PL,9,79502.65,8833.63,2025-11-13,2025-11-23
twitter,android,PT,15,126615.42,8441.03,2025-11-12,2025-11-23
twitter,android,RO,19,78229.35,4117.33,2025-11-12,2025-11-24
twitter,android,SE,17,111911.61,6583.04,2025-11-12,2025-11-23
twitter,android,SI,15,102846.72,6856.45,2025-11-12,2025-11-25
twitter,android,SK,19,115688.89,6088.89,2025-11-12,2025-11-24
twitter,ios,AT,23,104145.42,4528.06,2025-11-12,2025-11-24
twitter,ios,BE,11,114623.76,10420.34,2025-11-12,2025-11-22
twitter,ios,BG,15,116595.5,7773.03,2025-11-12,2025-11-24
twitter,ios,CY,14,67423.88,4815.99,2025-11-12,2025-11-24
twitter,ios,CZ,15,93796.58,6253.11,2025-11-12,2025-11-22
twitter,ios,DE,13,112320.39,8640.03,2025-11-12,2025-11-25
twitter,ios,DK,16,119288.65,7455.54,2025-11-12,2025-11-23
twitter,ios,EE,12,123274.29,10272.86,2025-11-12,2025-11-25
twitter,ios,ES,16,90502.77,5656.42,2025-11-12,2025-11-22
twitter,ios,FI,15,83970.46,5598.03,2025-11-12,2025-11-21
twitter,ios,FR,12,119954.81,9996.23,2025-11-12,2025-11-22
twitter,ios,GR,14,106634.44,7616.75,2025-11-12,2025-11-24
twitter,ios,HR,18,97930.43,5440.58,2025-11-12,2025-11-25
twitter,ios,HU,20,119675.78,5983.79,2025-11-12,2025-11-25
twitter,ios,IE,19,92101.11,4847.43,2025-11-12,2025-11-25
twitter,ios,IT,9,103294.15,11477.13,2025-11-12,2025-11-25
twitter,ios,LT,16,113091.13,7068.2,2025-11-12,2025-11-24
twitter,ios,LU,15,121241.19,8082.75,2025-11-12,2025-11-24
twitter,ios,LV,17,129060.5,7591.79,2025-11-12,2025-11-24
twitter,ios,MT,15,103119.06,6874.6,2025-11-12,2025-11-23
twitter,ios,NL,10,90649.66,9064.97,2025-11-12,2025-11-25
twitter,ios,PL,11,111865.05,10169.55,2025-11-12,2025-11-25
twitter,ios,PT,10,100165.4,10016.54,2025-11-14,2025-11-25
twitter,ios,RO,11,96577.6,8779.78,2025-11-12,2025-11-23
twitter,ios,SE,12,85517.83,7126.49,2025-11-12,2025-11-23
twitter,ios,SI,21,109181.77,5199.13,2025-11-12,2025-11-25
twitter,ios,SK,8,141733.99,17716.75,2025-11-13,2025-11-24
