day,campaign_id,campaign_name,impressions,clicks,cost_in_usd,external_website_conversions,video_views,likes,shares,comments,_fivetran_synced,_fivetran_deleted
2024-01-12,331003,Retargeting - Website Visitors,2009,30,41815,1,54,0,8,0,2024-01-12T08:00:00Z,false
2024-01-13,331001,Brand Awareness - IT Decision Makers,403,4,2212,0,25,17,2,2,2024-01-13T08:00:00Z,false
2024-01-13,331002,Lead Gen - CTO Persona,3099,27,36163,1,26,48,8,0,2024-01-13T08:00:00Z,false
2024-01-13,331003,Retargeting - Website Visitors,1769,30,18074,0,95,41,8,3,2024-01-13T08:00:00Z,false
2024-01-14,331001,Brand Awareness - IT Decision Makers,1273,16,20749,1,88,42,0,3,2024-01-14T08:00:00Z,false
2024-01-14,331002,Lead Gen - CTO Persona,1887,21,27050,1,70,3,0,5,2024-01-14T08:00:00Z,false
2024-01-14,331003,Retargeting - Website Visitors,1329,10,13688,1,28,40,10,2,2024-01-14T08:00:00Z,false
2024-01-15,331001,Brand Awareness - IT Decision Makers,3392,46,56968,0,99,46,3,2,2024-01-15T08:00:00Z,false
2024-01-15,331002,Lead Gen - CTO Persona,2138,16,18922,0,22,47,8,0,2024-01-15T08:00:00Z,false
2024-01-15,331003,Retargeting - Website Visitors,1845,10,7791,1,16,10,9,2,2024-01-15T08:00:00Z,false
2024-01-16,331001,Brand Awareness - IT Decision Makers,323,3,3629,0,5,9,5,4,2024-01-16T08:00:00Z,false
2024-01-16,331002,Lead Gen - CTO Persona,508,8,9002,1,62,50,9,4,2024-01-16T08:00:00Z,false
2024-01-16,331003,Retargeting - Website Visitors,1766,10,12076,0,23,33,1,4,2024-01-16T08:00:00Z,false
2024-01-17,331001,Brand Awareness - IT Decision Makers,952,10,10370,0,44,14,3,5,2024-01-17T08:00:00Z,false
2024-01-17,331002,Lead Gen - CTO Persona,1659,16,12697,1,71,48,10,0,2024-01-17T08:00:00Z,false
2024-01-17,331003,Retargeting - Website Visitors,769,11,10402,0,5,43,5,3,2024-01-17T08:00:00Z,false
2024-01-18,331001,Brand Awareness - IT Decision Makers,3561,68,60239,2,3,33,5,4,2024-01-18T08:00:00Z,false
2024-01-18,331002,Lead Gen - CTO Persona,3588,45,44406,1,83,12,5,4,2024-01-18T08:00:00Z,false
2024-01-18,331003,Retargeting - Website Visitors,637,12,8008,0,80,4,3,5,2024-01-18T08:00:00Z,false
2024-01-19,331001,Brand Awareness - IT Decision Makers,2878,47,64152,1,13,13,8,5,2024-01-19T08:00:00Z,false
2024-01-19,331002,Lead Gen - CTO Persona,3898,76,96915,0,95,43,2,0,2024-01-19T08:00:00Z,false
2024-01-19,331003,Retargeting - Website Visitors,2180,34,18288,0,6,11,4,4,2024-01-19T08:00:00Z,false
2024-01-20,331001,Brand Awareness - IT Decision Makers,588,8,5821,1,52,24,7,5,2024-01-20T08:00:00Z,false
2024-01-20,331002,Lead Gen - CTO Persona,1956,22,11371,0,68,0,10,5,2024-01-20T08:00:00Z,false
2024-01-20,331003,Retargeting - Website Visitors,2832,16,19935,0,89,4,5,4,2024-01-20T08:00:00Z,false
2024-01-21,331001,Brand Awareness - IT Decision Makers,734,6,7115,0,36,48,7,3,2024-01-21T08:00:00Z,false
2024-01-21,331002,Lead Gen - CTO Persona,1918,33,17517,0,68,14,2,5,2024-01-21T08:00:00Z,false
2024-01-21,331003,Retargeting - Website Visitors,1901,32,43182,1,81,9,4,5,2024-01-21T08:00:00Z,false
2024-01-22,331001,Brand Awareness - IT Decision Makers,3933,73,94536,2,1,35,8,1,2024-01-22T08:00:00Z,false
2024-01-22,331002,Lead Gen - CTO Persona,804,4,4290,1,68,35,1,2,2024-01-22T08:00:00Z,false
2024-01-22,331003,Retargeting - Website Visitors,1160,18,25263,1,27,26,10,4,2024-01-22T08:00:00Z,false
2024-01-23,331001,Brand Awareness - IT Decision Makers,883,6,4324,1,24,7,2,5,2024-01-23T08:00:00Z,false
2024-01-23,331002,Lead Gen - CTO Persona,3575,48,26610,2,59,41,8,0,2024-01-23T08:00:00Z,false
2024-01-23,331003,Retargeting - Website Visitors,1490,22,16515,0,92,37,7,2,2024-01-23T08:00:00Z,false
2024-01-24,331001,Brand Awareness - IT Decision Makers,1762,12,13865,0,36,39,1,1,2024-01-24T08:00:00Z,false
2024-01-24,331002,Lead Gen - CTO Persona,1601,19,15738,1,88,37,2,4,2024-01-24T08:00:00Z,false
2024-01-24,331003,Retargeting - Website Visitors,2621,27,22040,1,21,0,5,1,2024-01-24T08:00:00Z,false
2024-01-25,331001,Brand Awareness - IT Decision Makers,3518,29,35954,1,35,23,2,5,2024-01-25T08:00:00Z,false
2024-01-25,331002,Lead Gen - CTO Persona,3302,32,31358,1,45,49,4,3,2024-01-25T08:00:00Z,false
2024-01-25,331003,Retargeting - Website Visitors,2559,16,18328,0,35,8,8,1,2024-01-25T08:00:00Z,false
2024-01-26,331001,Brand Awareness - IT Decision Makers,1378,22,24785,0,2,32,10,0,2024-01-26T08:00:00Z,false
2024-01-26,331002,Lead Gen - CTO Persona,3628,49,44351,2,27,2,8,2,2024-01-26T08:00:00Z,false
2024-01-26,331003,Retargeting - Website Visitors,2526,46,47825,2,99,9,5,3,2024-01-26T08:00:00Z,false
2024-01-27,331001,Brand Awareness - IT Decision Makers,1214,22,23971,1,17,29,8,4,2024-01-27T08:00:00Z,false
2024-01-27,331002,Lead Gen - CTO Persona,670,7,7015,0,78,43,2,4,2024-01-27T08:00:00Z,false
2024-01-27,331003,Retargeting - Website Visitors,874,10,6791,0,94,46,7,2,2024-01-27T08:00:00Z,false
2024-01-28,331001,Brand Awareness - IT Decision Makers,465,3,2962,0,33,23,3,0,2024-01-28T08:00:00Z,false
2024-01-28,331002,Lead Gen - CTO Persona,3038,24,33785,1,49,30,7,0,2024-01-28T08:00:00Z,false
2024-01-28,331003,Retargeting - Website Visitors,463,9,7416,1,94,16,9,4,2024-01-28T08:00:00Z,false
2024-01-29,331001,Brand Awareness - IT Decision Makers,2635,20,23073,1,75,41,1,4,2024-01-29T08:00:00Z,false
2024-01-29,331002,Lead Gen - CTO Persona,1330,14,19701,1,45,22,7,3,2024-01-29T08:00:00Z,false
2024-01-29,331003,Retargeting - Website Visitors,3933,55,55101,0,56,10,3,0,2024-01-29T08:00:00Z,false
2024-01-30,331001,Brand Awareness - IT Decision Makers,2407,35,24903,0,20,23,9,5,2024-01-30T08:00:00Z,false
2024-01-30,331002,Lead Gen - CTO Persona,3646,24,17528,1,92,7,7,5,2024-01-30T08:00:00Z,false
2024-01-30,331003,Retargeting - Website Visitors,2261,27,29451,1,2,15,0,1,2024-01-30T08:00:00Z,false
2024-01-31,331001,Brand Awareness - IT Decision Makers,2649,36,22850,0,73,9,0,1,2024-01-31T08:00:00Z,false
2024-01-31,331002,Lead Gen - CTO Persona,1357,25,25416,1,76,36,10,0,2024-01-31T08:00:00Z,false
2024-01-31,331003,Retargeting - Website Visitors,3898,61,70866,2,10,13,7,4,2024-01-31T08:00:00Z,false
2024-02-01,331001,Brand Awareness - IT Decision Makers,2230,40,26822,1,76,9,9,1,2024-02-01T08:00:00Z,false
2024-02-01,331002,Lead Gen - CTO Persona,2852,42,32109,2,87,21,7,4,2024-02-01T08:00:00Z,false
2024-02-01,331003,Retargeting - Website Visitors,2719,16,14051,0,13,1,3,4,2024-02-01T08:00:00Z,false
2024-02-02,331001,Brand Awareness - IT Decision Makers,3820,71,84090,1,77,6,2,3,2024-02-02T08:00:00Z,false
2024-02-02,331002,Lead Gen - CTO Persona,3992,56,30186,2,64,48,1,0,2024-02-02T08:00:00Z,false
2024-02-02,331003,Retargeting - Website Visitors,2275,33,46265,0,99,43,10,3,2024-02-02T08:00:00Z,false
2024-02-03,331001,Brand Awareness - IT Decision Makers,2438,27,37120,1,29,30,6,2,2024-02-03T08:00:00Z,false
2024-02-03,331002,Lead Gen - CTO Persona,2712,46,64761,2,73,6,6,1,2024-02-03T08:00:00Z,false
2024-02-03,331003,Retargeting - Website Visitors,1342,16,11720,0,36,38,8,3,2024-02-03T08:00:00Z,false
2024-02-04,331001,Brand Awareness - IT Decision Makers,1355,10,12091,0,73,33,1,4,2024-02-04T08:00:00Z,false
2024-02-04,331002,Lead Gen - CTO Persona,329,3,2116,1,52,23,1,1,2024-02-04T08:00:00Z,false
2024-02-04,331003,Retargeting - Website Visitors,2045,30,22608,1,72,23,9,2,2024-02-04T08:00:00Z,false
2024-02-05,331001,Brand Awareness - IT Decision Makers,3087,33,23221,1,22,23,8,4,2024-02-05T08:00:00Z,false
2024-02-05,331002,Lead Gen - CTO Persona,2281,20,16133,1,99,45,6,5,2024-02-05T08:00:00Z,false
2024-02-05,331003,Retargeting - Website Visitors,865,15,17389,0,57,50,2,0,2024-02-05T08:00:00Z,false
2024-02-06,331001,Brand Awareness - IT Decision Makers,1178,14,18005,0,20,24,10,0,2024-02-06T08:00:00Z,false
2024-02-06,331002,Lead Gen - CTO Persona,3594,22,14197,1,11,4,4,1,2024-02-06T08:00:00Z,false
2024-02-06,331003,Retargeting - Website Visitors,1818,11,5915,1,51,39,10,4,2024-02-06T08:00:00Z,false
2024-02-07,331001,Brand Awareness - IT Decision Makers,1473,23,25241,0,81,31,7,0,2024-02-07T08:00:00Z,false
2024-02-07,331002,Lead Gen - CTO Persona,1126,19,27184,1,24,2,9,4,2024-02-07T08:00:00Z,false
2024-02-07,331003,Retargeting - Website Visitors,2412,37,41262,0,46,15,10,0,2024-02-07T08:00:00Z,false
2024-02-08,331001,Brand Awareness - IT Decision Makers,944,5,3879,1,45,42,6,3,2024-02-08T08:00:00Z,false
2024-02-08,331002,Lead Gen - CTO Persona,2700,21,10822,0,11,35,4,5,2024-02-08T08:00:00Z,false
2024-02-08,331003,Retargeting - Website Visitors,3698,49,53063,1,35,14,9,1,2024-02-08T08:00:00Z,false
2024-02-09,331001,Brand Awareness - IT Decision Makers,2162,40,42996,1,22,26,8,0,2024-02-09T08:00:00Z,false
2024-02-09,331002,Lead Gen - CTO Persona,2588,15,11913,0,65,16,8,4,2024-02-09T08:00:00Z,false
2024-02-09,331003,Retargeting - Website Visitors,1324,20,29321,1,98,15,5,3,2024-02-09T08:00:00Z,false
2024-02-10,331001,Brand Awareness - IT Decision Makers,3091,36,39125,0,61,7,4,0,2024-02-10T08:00:00Z,false
2024-02-10,331002,Lead Gen - CTO Persona,1867,27,40343,0,40,26,5,4,2024-02-10T08:00:00Z,false
2024-02-10,331003,Retargeting - Website Visitors,2494,12,15986,0,36,5,6,5,2024-02-10T08:00:00Z,false
2024-02-11,331001,Brand Awareness - IT Decision Makers,3367,58,33409,0,60,20,5,1,2024-02-11T08:00:00Z,false
2024-02-11,331002,Lead Gen - CTO Persona,3963,53,36187,2,87,12,7,5,2024-02-11T08:00:00Z,false
2024-02-11,331003,Retargeting - Website Visitors,1117,9,6678,1,26,14,3,1,2024-02-11T08:00:00Z,false
2024-02-12,331001,Brand Awareness - IT Decision Makers,3725,53,34767,0,15,5,10,5,2024-02-12T08:00:00Z,false
2024-02-12,331002,Lead Gen - CTO Persona,2317,32,40455,0,61,23,9,2,2024-02-12T08:00:00Z,false
2024-02-12,331003,Retargeting - Website Visitors,2316,42,58001,2,35,31,2,4,2024-02-12T08:00:00Z,false
2024-02-13,331001,Brand Awareness - IT Decision Makers,1447,15,18752,0,6,33,6,3,2024-02-13T08:00:00Z,false
2024-02-13,331002,Lead Gen - CTO Persona,2514,13,11014,0,58,7,8,3,2024-02-13T08:00:00Z,false
2024-02-13,331003,Retargeting - Website Visitors,1592,24,12283,0,48,37,1,2,2024-02-13T08:00:00Z,false
2024-02-14,331001,Brand Awareness - IT Decision Makers,1781,25,18992,1,30,17,7,4,2024-02-14T08:00:00Z,false
2024-02-14,331002,Lead Gen - CTO Persona,1705,17,16979,0,53,44,5,2,2024-02-14T08:00:00Z,false
2024-02-14,331003,Retargeting - Website Visitors,3799,41,38979,2,16,36,10,1,2024-02-14T08:00:00Z,false
2024-02-15,331001,Brand Awareness - IT Decision Makers,3634,23,17708,0,71,27,6,1,2024-02-15T08:00:00Z,false
2024-02-15,331002,Lead Gen - CTO Persona,897,15,18578,1,1,11,6,3,2024-02-15T08:00:00Z,false
2024-02-15,331003,Retargeting - Website Visitors,850,16,21590,1,100,31,4,2,2024-02-15T08:00:00Z,false
2024-02-16,331001,Brand Awareness - IT Decision Makers,2602,46,25194,0,88,10,0,1,2024-02-16T08:00:00Z,false
2024-02-16,331002,Lead Gen - CTO Persona,3633,32,42847,0,57,47,5,2,2024-02-16T08:00:00Z,false
2024-02-16,331003,Retargeting - Website Visitors,1778,18,19034,1,44,1,6,0,2024-02-16T08:00:00Z,false
2024-02-17,331001,Brand Awareness - IT Decision Makers,1738,31,45356,0,73,36,10,5,2024-02-17T08:00:00Z,false
2024-02-17,331002,Lead Gen - CTO Persona,2505,19,24325,1,41,43,8,3,2024-02-17T08:00:00Z,false
2024-02-17,331003,Retargeting - Website Visitors,3473,55,76429,1,78,18,7,5,2024-02-17T08:00:00Z,false
2024-02-18,331001,Brand Awareness - IT Decision Makers,893,16,18249,1,53,40,9,4,2024-02-18T08:00:00Z,false
2024-02-18,331002,Lead Gen - CTO Persona,1957,34,19425,0,43,14,5,2,2024-02-18T08:00:00Z,false
2024-02-18,331003,Retargeting - Website Visitors,2974,27,20721,1,34,28,5,5,2024-02-18T08:00:00Z,false
2024-02-19,331001,Brand Awareness - IT Decision Makers,2704,34,32309,0,23,1,2,5,2024-02-19T08:00:00Z,false
2024-02-19,331002,Lead Gen - CTO Persona,1261,18,25927,0,26,10,6,0,2024-02-19T08:00:00Z,false
2024-02-19,331003,Retargeting - Website Visitors,691,4,5514,0,3,49,6,4,2024-02-19T08:00:00Z,false
2024-02-20,331001,Brand Awareness - IT Decision Makers,3433,68,41067,1,10,41,6,2,2024-02-20T08:00:00Z,false
2024-02-20,331002,Lead Gen - CTO Persona,1239,10,7841,0,16,33,2,0,2024-02-20T08:00:00Z,false
2024-02-20,331003,Retargeting - Website Visitors,443,6,8162,1,60,29,8,2,2024-02-20T08:00:00Z,false
2024-02-21,331001,Brand Awareness - IT Decision Makers,2546,29,42616,0,75,38,7,5,2024-02-21T08:00:00Z,false
2024-02-21,331002,Lead Gen - CTO Persona,3367,48,51071,2,81,40,8,2,2024-02-21T08:00:00Z,false
2024-02-21,331003,Retargeting - Website Visitors,1722,21,15269,0,56,19,5,3,2024-02-21T08:00:00Z,false
2024-02-22,331001,Brand Awareness - IT Decision Makers,1364,10,5105,0,44,18,7,4,2024-02-22T08:00:00Z,false
2024-02-22,331002,Lead Gen - CTO Persona,334,5,4959,1,38,0,6,2,2024-02-22T08:00:00Z,false
2024-02-22,331003,Retargeting - Website Visitors,2745,23,11666,1,24,26,8,3,2024-02-22T08:00:00Z,false
2024-02-23,331001,Brand Awareness - IT Decision Makers,1916,16,19439,1,48,14,4,0,2024-02-23T08:00:00Z,false
2024-02-23,331002,Lead Gen - CTO Persona,2029,29,29481,1,36,41,8,2,2024-02-23T08:00:00Z,false
2024-02-23,331003,Retargeting - Website Visitors,1991,15,8526,0,37,7,10,3,2024-02-23T08:00:00Z,false
2024-02-24,331001,Brand Awareness - IT Decision Makers,2830,33,39615,1,24,20,0,1,2024-02-24T08:00:00Z,false
2024-02-24,331002,Lead Gen - CTO Persona,503,9,4699,0,36,17,2,5,2024-02-24T08:00:00Z,false
2024-02-24,331003,Retargeting - Website Visitors,2095,33,24182,0,1,31,3,2,2024-02-24T08:00:00Z,false
2024-02-25,331001,Brand Awareness - IT Decision Makers,2021,19,24689,1,59,44,0,2,2024-02-25T08:00:00Z,false
2024-02-25,331002,Lead Gen - CTO Persona,628,11,15968,0,34,49,6,0,2024-02-25T08:00:00Z,false
2024-02-25,331003,Retargeting - Website Visitors,2524,30,20765,1,48,0,1,5,2024-02-25T08:00:00Z,false
2024-02-26,331001,Brand Awareness - IT Decision Makers,1319,14,20649,0,94,2,3,3,2024-02-26T08:00:00Z,false
2024-02-26,331002,Lead Gen - CTO Persona,3311,54,55141,0,60,24,10,2,2024-02-26T08:00:00Z,false
2024-02-26,331003,Retargeting - Website Visitors,1623,11,13510,0,32,30,10,2,2024-02-26T08:00:00Z,false
2024-02-27,331001,Brand Awareness - IT Decision Makers,1113,11,6072,0,14,15,10,3,2024-02-27T08:00:00Z,false
2024-02-27,331002,Lead Gen - CTO Persona,1629,8,10355,0,50,50,3,0,2024-02-27T08:00:00Z,false
2024-02-27,331003,Retargeting - Website Visitors,472,6,7144,0,47,49,1,1,2024-02-27T08:00:00Z,false
2024-02-28,331001,Brand Awareness - IT Decision Makers,945,11,13045,1,97,40,0,0,2024-02-28T08:00:00Z,false
2024-02-28,331002,Lead Gen - CTO Persona,1756,25,30033,0,16,31,3,2,2024-02-28T08:00:00Z,false
2024-02-28,331003,Retargeting - Website Visitors,2587,43,54037,1,93,12,0,5,2024-02-28T08:00:00Z,false
2024-02-29,331001,Brand Awareness - IT Decision Makers,1847,19,12059,0,62,45,7,4,2024-02-29T08:00:00Z,false
2024-02-29,331002,Lead Gen - CTO Persona,1507,19,18811,0,69,22,5,5,2024-02-29T08:00:00Z,false
2024-02-29,331003,Retargeting - Website Visitors,2218,20,26626,0,8,33,2,3,2024-02-29T08:00:00Z,false
2024-03-01,331001,Brand Awareness - IT Decision Makers,1511,26,27081,1,0,49,10,4,2024-03-01T08:00:00Z,false
2024-03-01,331002,Lead Gen - CTO Persona,1852,29,40105,1,99,39,3,2,2024-03-01T08:00:00Z,false
2024-03-01,331003,Retargeting - Website Visitors,3253,19,27876,1,24,33,10,3,2024-03-01T08:00:00Z,false
2024-03-02,331001,Brand Awareness - IT Decision Makers,3436,45,50086,1,52,41,5,0,2024-03-02T08:00:00Z,false
2024-03-02,331002,Lead Gen - CTO Persona,694,8,4533,0,22,2,3,0,2024-03-02T08:00:00Z,false
2024-03-02,331003,Retargeting - Website Visitors,2288,18,9572,1,84,31,8,4,2024-03-02T08:00:00Z,false
2024-03-03,331001,Brand Awareness - IT Decision Makers,3172,43,23610,0,77,45,1,0,2024-03-03T08:00:00Z,false
2024-03-03,331002,Lead Gen - CTO Persona,1154,17,24282,0,59,40,0,2,2024-03-03T08:00:00Z,false
2024-03-03,331003,Retargeting - Website Visitors,2585,41,57007,1,90,3,9,2,2024-03-03T08:00:00Z,false
2024-03-04,331001,Brand Awareness - IT Decision Makers,2466,13,7415,1,9,13,8,0,2024-03-04T08:00:00Z,false
2024-03-04,331002,Lead Gen - CTO Persona,714,11,11348,0,24,33,10,1,2024-03-04T08:00:00Z,false
2024-03-04,331003,Retargeting - Website Visitors,2634,37,25119,1,95,6,10,4,2024-03-04T08:00:00Z,false
2024-03-05,331001,Brand Awareness - IT Decision Makers,1766,26,31266,1,13,10,2,4,2024-03-05T08:00:00Z,false
2024-03-05,331002,Lead Gen - CTO Persona,1944,24,27780,1,45,20,8,2,2024-03-05T08:00:00Z,false
2024-03-05,331003,Retargeting - Website Visitors,3760,39,49303,1,92,20,9,1,2024-03-05T08:00:00Z,false
2024-03-06,331001,Brand Awareness - IT Decision Makers,2606,34,29752,1,46,28,7,3,2024-03-06T08:00:00Z,false
2024-03-06,331002,Lead Gen - CTO Persona,300,4,5931,0,66,8,4,0,2024-03-06T08:00:00Z,false
2024-03-06,331003,Retargeting - Website Visitors,1530,30,21444,1,2,49,4,4,2024-03-06T08:00:00Z,false
2024-03-07,331001,Brand Awareness - IT Decision Makers,2394,31,44203,0,12,2,7,2,2024-03-07T08:00:00Z,false
2024-03-07,331002,Lead Gen - CTO Persona,939,6,5202,0,29,16,4,0,2024-03-07T08:00:00Z,false
2024-03-07,331003,Retargeting - Website Visitors,2636,28,39700,0,92,20,7,1,2024-03-07T08:00:00Z,false
2024-03-08,331001,Brand Awareness - IT Decision Makers,2299,39,46394,0,76,41,4,0,2024-03-08T08:00:00Z,false
2024-03-08,331002,Lead Gen - CTO Persona,3293,56,49366,0,98,21,5,3,2024-03-08T08:00:00Z,false
2024-03-08,331003,Retargeting - Website Visitors,2006,38,23580,0,95,41,9,0,2024-03-08T08:00:00Z,false
2024-03-09,331001,Brand Awareness - IT Decision Makers,2896,48,42359,1,67,2,5,4,2024-03-09T08:00:00Z,false
2024-03-09,331002,Lead Gen - CTO Persona,2613,18,18043,0,19,3,10,5,2024-03-09T08:00:00Z,false
2024-03-09,331003,Retargeting - Website Visitors,1909,37,46355,0,28,27,4,3,2024-03-09T08:00:00Z,false
2024-03-10,331001,Brand Awareness - IT Decision Makers,906,6,3495,0,70,25,4,0,2024-03-10T08:00:00Z,false
2024-03-10,331002,Lead Gen - CTO Persona,1932,24,30571,0,97,8,7,4,2024-03-10T08:00:00Z,false
2024-03-10,331003,Retargeting - Website Visitors,1111,13,14979,0,71,39,8,1,2024-03-10T08:00:00Z,false
2024-03-11,331001,Brand Awareness - IT Decision Makers,1292,7,8937,1,87,36,1,0,2024-03-11T08:00:00Z,false
2024-03-11,331002,Lead Gen - CTO Persona,3051,34,29419,0,41,22,9,5,2024-03-11T08:00:00Z,false
2024-03-11,331003,Retargeting - Website Visitors,399,6,4015,1,78,28,9,1,2024-03-11T08:00:00Z,false
2024-03-12,331001,Brand Awareness - IT Decision Makers,2104,11,14499,0,87,23,2,5,2024-03-12T08:00:00Z,false
2024-03-12,331002,Lead Gen - CTO Persona,3792,23,28510,0,79,9,4,0,2024-03-12T08:00:00Z,false
2024-03-12,331003,Retargeting - Website Visitors,1706,26,15893,1,60,1,5,1,2024-03-12T08:00:00Z,false
2024-03-13,331001,Brand Awareness - IT Decision Makers,3331,43,30263,2,96,16,8,3,2024-03-13T08:00:00Z,false
2024-03-13,331002,Lead Gen - CTO Persona,2851,45,28860,2,85,1,6,4,2024-03-13T08:00:00Z,false
2024-03-13,331003,Retargeting - Website Visitors,3017,38,28707,0,36,12,9,2,2024-03-13T08:00:00Z,false
2024-03-14,331001,Brand Awareness - IT Decision Makers,517,6,8671,0,49,42,4,5,2024-03-14T08:00:00Z,false
2024-03-14,331002,Lead Gen - CTO Persona,3790,70,60215,0,2,18,10,3,2024-03-14T08:00:00Z,false
2024-03-14,331003,Retargeting - Website Visitors,1246,24,24204,0,40,31,9,4,2024-03-14T08:00:00Z,false
2024-03-15,331001,Brand Awareness - IT Decision Makers,660,5,5003,1,71,45,0,0,2024-03-15T08:00:00Z,false
2024-03-15,331002,Lead Gen - CTO Persona,1313,24,19318,1,50,47,2,0,2024-03-15T08:00:00Z,false
2024-03-15,331003,Retargeting - Website Visitors,1720,26,22239,1,30,32,4,0,2024-03-15T08:00:00Z,false
2024-03-16,331001,Brand Awareness - IT Decision Makers,2863,25,22179,0,71,17,3,1,2024-03-16T08:00:00Z,false
2024-03-16,331002,Lead Gen - CTO Persona,1699,31,35864,0,93,24,8,5,2024-03-16T08:00:00Z,false
2024-03-16,331003,Retargeting - Website Visitors,2808,50,59326,1,30,36,2,3,2024-03-16T08:00:00Z,false
2024-03-17,331001,Brand Awareness - IT Decision Makers,1579,29,24049,0,26,41,2,4,2024-03-17T08:00:00Z,false
2024-03-17,331002,Lead Gen - CTO Persona,2517,38,26687,0,39,44,8,1,2024-03-17T08:00:00Z,false
2024-03-17,331003,Retargeting - Website Visitors,2061,41,60506,0,83,36,2,2,2024-03-17T08:00:00Z,false
2024-03-18,331001,Brand Awareness - IT Decision Makers,577,7,10140,0,23,20,2,5,2024-03-18T08:00:00Z,false
2024-03-18,331002,Lead Gen - CTO Persona,420,6,8280,1,52,19,7,5,2024-03-18T08:00:00Z,false
