user_id,ad_source,platform,country,total_revenue,purchase_count,first_purchase_date,last_purchase_date,ltv_usd
100014,facebook,ios,HR,90,1,2025-04-11,2025-04-11,90.0
100014,facebook,ios,FI,116,1,2025-08-23,2025-08-23,116.0
100015,instagram,android,BG,18,1,2025-01-06,2025-01-06,18.0
100015,instagram,android,DE,63,1,2025-06-23,2025-06-23,63.0
100015,instagram,android,MT,51,1,2025-07-01,2025-07-01,51.0
100015,instagram,android,DK,120,1,2025-12-13,2025-12-13,120.0
100016,instagram,android,BE,125,1,2025-05-31,2025-05-31,125.0
100016,instagram,android,DK,48,1,2025-08-04,2025-08-04,48.0
100016,instagram,android,IT,7,1,2025-09-27,2025-09-27,7.0
100016,instagram,android,LV,128,1,2025-11-19,2025-11-19,128.0
100017,instagram,android,AT,5,1,2025-01-31,2025-01-31,5.0
100017,instagram,android,IT,8,1,2025-04-30,2025-04-30,8.0
100017,instagram,android,HR,28,1,2025-07-08,2025-07-08,28.0
100017,instagram,android,IE,131,1,2025-09-11,2025-09-11,131.0
100018,affiliate,android,BG,138,1,2025-05-07,2025-05-07,138.0
100018,affiliate,android,CY,60,1,2025-10-01,2025-10-01,60.0
100018,affiliate,android,LV,201,1,2025-11-07,2025-11-07,201.0
100018,affiliate,android,DE,89,1,2025-11-16,2025-11-16,89.0
100019,affiliate,android,HU,22,1,2025-02-03,2025-02-03,22.0
100019,affiliate,android,CZ,22,1,2025-09-07,2025-09-07,22.0
100019,affiliate,android,PL,61,1,2025-09-27,2025-09-27,61.0
100019,affiliate,android,SE,54,1,2025-11-16,2025-11-16,54.0
100020,affiliate,android,PT,78,1,2025-03-01,2025-03-01,78.0
100020,affiliate,android,EE,128,1,2025-05-07,2025-05-07,128.0
100020,affiliate,android,IE,105,1,2025-07-05,2025-07-05,105.0
100020,affiliate,android,SE,32,1,2025-08-19,2025-08-19,32.0
100021,google,ios,LT,25,1,2025-01-04,2025-01-04,25.0
100021,google,ios,CZ,9,1,2025-09-09,2025-09-09,9.0
100021,google,ios,IT,22,1,2025-09-18,2025-09-18,22.0
100021,google,ios,HR,170,1,2025-12-16,2025-12-16,170.0
100022,google,ios,IT,12,1,2025-03-08,2025-03-08,12.0
100022,google,ios,CY,31,1,2025-06-08,2025-06-08,31.0
100022,google,ios,ES,48,1,2025-10-03,2025-10-03,48.0
100022,google,ios,IE,40,1,2025-12-29,2025-12-29,40.0
100023,google,ios,RO,51,1,2025-03-12,2025-03-12,51.0
100023,google,ios,SI,66,1,2025-03-12,2025-03-12,66.0
100023,google,ios,SK,14,1,2025-03-19,2025-03-19,14.0
100023,google,ios,SE,108,1,2025-06-02,2025-06-02,108.0
100024,affiliate,android,DE,11,1,2025-01-22,2025-01-22,11.0
100024,affiliate,android,ES,14,1,2025-07-07,2025-07-07,14.0
100024,affiliate,android,NL,47,1,2025-08-25,2025-08-25,47.0
100024,affiliate,android,LV,40,1,2025-12-25,2025-12-25,40.0
100025,affiliate,ios,BG,5,1,2025-01-16,2025-01-16,5.0
100025,affiliate,ios,FI,152,2,2025-07-07,2025-09-17,228.0
100025,affiliate,ios,SI,196,1,2025-11-20,2025-11-20,196.0
100026,affiliate,ios,EE,44,1,2025-03-17,2025-03-17,44.0
100026,affiliate,ios,FI,98,1,2025-07-29,2025-07-29,98.0
100026,affiliate,ios,IE,224,1,2025-10-22,2025-10-22,224.0
100026,affiliate,ios,NL,50,1,2025-10-22,2025-10-22,50.0
100027,tiktok,ios,SK,17,1,2025-03-06,2025-03-06,17.0
100027,tiktok,ios,LV,68,1,2025-08-24,2025-08-24,68.0
100027,tiktok,ios,MT,63,1,2025-09-22,2025-09-22,63.0
100027,tiktok,ios,HR,255,1,2025-11-23,2025-11-23,255.0
100028,tiktok,ios,CZ,21,1,2025-06-01,2025-06-01,21.0
100028,tiktok,ios,IT,42,1,2025-07-05,2025-07-05,42.0
100028,tiktok,ios,LT,38,1,2025-10-09,2025-10-09,38.0
100028,tiktok,ios,AT,243,1,2025-10-28,2025-10-28,243.0
100029,instagram,android,GR,76,2,2025-09-06,2025-11-11,114.0
100029,instagram,android,DE,205,1,2025-10-31,2025-10-31,205.0
100029,instagram,android,CZ,55,1,2025-12-29,2025-12-29,55.0
100030,instagram,android,BE,26,1,2025-01-04,2025-01-04,26.0
100030,instagram,android,IE,150,1,2025-06-19,2025-06-19,150.0
100030,instagram,android,LV,63,1,2025-07-05,2025-07-05,63.0
100030,instagram,android,GR,26,1,2025-11-02,2025-11-02,26.0
100031,instagram,android,AT,138,1,2025-05-26,2025-05-26,138.0
100031,instagram,android,EE,150,1,2025-06-21,2025-06-21,150.0
100031,instagram,android,PT,90,1,2025-06-22,2025-06-22,90.0
100031,instagram,android,DE,138,1,2025-10-25,2025-10-25,138.0
100032,instagram,android,IE,51,1,2025-03-04,2025-03-04,51.0
100032,instagram,android,PL,22,1,2025-05-12,2025-05-12,22.0
100032,instagram,android,SI,116,1,2025-08-03,2025-08-03,116.0
100032,instagram,android,LT,54,1,2025-11-28,2025-11-28,54.0
100033,instagram,android,DE,24,1,2025-01-26,2025-01-26,24.0
100033,instagram,android,IT,4,1,2025-02-11,2025-02-11,4.0
100033,instagram,android,ES,15,1,2025-04-29,2025-04-29,15.0
100033,instagram,android,EE,140,1,2025-08-26,2025-08-26,140.0
100034,instagram,android,DK,23,1,2025-02-25,2025-02-25,23.0
100034,instagram,android,HU,44,1,2025-08-01,2025-08-01,44.0
100034,instagram,android,AT,41,1,2025-09-03,2025-09-03,41.0
100034,instagram,android,PL,69,1,2025-10-27,2025-10-27,69.0
100035,instagram,ios,MT,22,1,2025-04-30,2025-04-30,22.0
100035,instagram,ios,GR,33,1,2025-06-28,2025-06-28,33.0
100035,instagram,ios,FI,56,1,2025-08-02,2025-08-02,56.0
100035,instagram,ios,HR,60,1,2025-08-08,2025-08-08,60.0
100036,instagram,ios,GR,6,1,2025-04-18,2025-04-18,6.0
100036,instagram,ios,PT,114,1,2025-06-05,2025-06-05,114.0
100036,instagram,ios,DE,78,1,2025-06-22,2025-06-22,78.0
100036,instagram,ios,LU,170,1,2025-12-03,2025-12-03,170.0
100037,instagram,ios,BE,43,1,2025-05-27,2025-05-27,43.0
100037,instagram,ios,PL,174,2,2025-05-29,2025-09-17,261.0
100037,instagram,ios,SI,112,1,2025-08-23,2025-08-23,112.0
100038,tiktok,android,LT,6,1,2025-01-05,2025-01-05,6.0
100038,tiktok,android,FR,15,1,2025-02-16,2025-02-16,15.0
100038,tiktok,android,AT,96,1,2025-06-02,2025-06-02,96.0
100038,tiktok,android,BG,105,1,2025-06-14,2025-06-14,105.0
100039,tiktok,android,DK,38,1,2025-03-24,2025-03-24,38.0
100039,tiktok,android,SK,78,1,2025-04-14,2025-04-14,78.0
100039,tiktok,android,IE,144,1,2025-06-04,2025-06-04,144.0
100039,tiktok,android,DE,75,1,2025-12-04,2025-12-04,75.0
100040,instagram,ios,LV,10,1,2025-02-26,2025-02-26,10.0
100040,instagram,ios,SE,60,1,2025-06-27,2025-06-27,60.0
100040,instagram,ios,MT,74,1,2025-08-08,2025-08-08,74.0
100040,instagram,ios,BG,69,1,2025-11-30,2025-11-30,69.0
100041,instagram,ios,SI,83,1,2025-05-16,2025-05-16,83.0
100041,instagram,ios,EE,119,1,2025-07-27,2025-07-27,119.0
100041,instagram,ios,PT,108,1,2025-08-01,2025-08-01,108.0
100041,instagram,ios,FR,77,1,2025-09-10,2025-09-10,77.0
100042,instagram,ios,GR,18,1,2025-03-14,2025-03-14,18.0
100042,instagram,ios,EE,103,1,2025-05-06,2025-05-06,103.0
100042,instagram,ios,RO,118,1,2025-05-12,2025-05-12,118.0
100042,instagram,ios,BG,90,1,2025-12-02,2025-12-02,90.0
100043,facebook,ios,HR,221,2,2025-03-19,2025-09-08,331.5
100043,facebook,ios,HU,6,1,2025-04-11,2025-04-11,6.0
100043,facebook,ios,ES,28,1,2025-11-06,2025-11-06,28.0
100044,facebook,ios,IT,15,1,2025-03-02,2025-03-02,15.0
100044,facebook,ios,AT,46,1,2025-04-20,2025-04-20,46.0
100044,facebook,ios,BG,162,1,2025-06-17,2025-06-17,162.0
100044,facebook,ios,FI,180,1,2025-12-14,2025-12-14,180.0
100045,affiliate,ios,IE,18,1,2025-01-15,2025-01-15,18.0
100045,affiliate,ios,PL,32,1,2025-03-18,2025-03-18,32.0
100045,affiliate,ios,LV,40,1,2025-04-19,2025-04-19,40.0
100045,affiliate,ios,SI,152,1,2025-08-03,2025-08-03,152.0
100046,affiliate,ios,ES,4,1,2025-01-20,2025-01-20,4.0
100046,affiliate,ios,FR,221,1,2025-09-07,2025-09-07,221.0
100046,affiliate,ios,CZ,25,1,2025-11-18,2025-11-18,25.0
100046,affiliate,ios,DE,55,1,2025-12-23,2025-12-23,55.0
100047,twitter,android,EE,20,1,2025-03-16,2025-03-16,20.0
100047,twitter,android,BG,133,1,2025-05-08,2025-05-08,133.0
100047,twitter,android,HU,52,1,2025-08-30,2025-08-30,52.0
100047,twitter,android,NL,16,1,2025-10-20,2025-10-20,16.0
100048,twitter,android,LV,30,1,2025-02-19,2025-02-19,30.0
100048,twitter,android,IE,44,1,2025-02-23,2025-02-23,44.0
100048,twitter,android,LT,57,1,2025-06-27,2025-06-27,57.0
100048,twitter,android,LU,181,1,2025-10-29,2025-10-29,181.0
100049,google,ios,BE,96,2,2025-02-13,2025-12-25,144.0
100049,google,ios,GR,55,2,2025-10-24,2025-11-20,82.5
100050,google,ios,EE,52,1,2025-08-22,2025-08-22,52.0
100050,google,ios,PL,46,1,2025-08-22,2025-08-22,46.0
100050,google,ios,RO,114,1,2025-10-20,2025-10-20,114.0
100050,google,ios,IT,68,1,2025-11-25,2025-11-25,68.0
100051,google,ios,LU,154,1,2025-07-27,2025-07-27,154.0
100051,google,ios,BE,68,1,2025-08-25,2025-08-25,68.0
100051,google,ios,LT,113,1,2025-09-01,2025-09-01,113.0
100051,google,ios,SI,108,1,2025-09-03,2025-09-03,108.0
100052,instagram,ios,IT,12,1,2025-04-29,2025-04-29,12.0
100052,instagram,ios,NL,56,2,2025-06-20,2025-07-30,84.0
100052,instagram,ios,FI,63,1,2025-07-29,2025-07-29,63.0
100053,instagram,ios,IE,66,1,2025-03-14,2025-03-14,66.0
100053,instagram,ios,EE,45,1,2025-06-01,2025-06-01,45.0
100053,instagram,ios,DE,306,2,2025-09-25,2025-09-26,459.0
100054,facebook,ios,CY,4,1,2025-01-09,2025-01-09,4.0
100054,facebook,ios,HR,48,1,2025-02-13,2025-02-13,48.0
100054,facebook,ios,PL,27,1,2025-04-22,2025-04-22,27.0
100054,facebook,ios,PT,252,1,2025-10-08,2025-10-08,252.0
100055,facebook,ios,PT,123,1,2025-05-22,2025-05-22,123.0
100055,facebook,ios,GR,30,1,2025-05-28,2025-05-28,30.0
100055,facebook,ios,SK,99,1,2025-06-16,2025-06-16,99.0
100055,facebook,ios,HU,35,1,2025-11-08,2025-11-08,35.0
100056,facebook,ios,RO,11,1,2025-01-31,2025-01-31,11.0
100056,facebook,ios,DE,11,1,2025-03-03,2025-03-03,11.0
100056,facebook,ios,GR,29,1,2025-07-22,2025-07-22,29.0
100056,facebook,ios,SI,189,1,2025-09-25,2025-09-25,189.0
100057,affiliate,ios,FR,243,3,2025-05-09,2025-10-04,486.0
100057,affiliate,ios,NL,21,1,2025-09-19,2025-09-19,21.0
100058,affiliate,ios,LU,71,1,2025-03-18,2025-03-18,71.0
100058,affiliate,ios,SK,54,1,2025-04-08,2025-04-08,54.0
100058,affiliate,ios,LV,157,1,2025-11-25,2025-11-25,157.0
100058,affiliate,ios,DK,155,1,2025-12-04,2025-12-04,155.0
100059,affiliate,ios,BE,24,1,2025-01-12,2025-01-12,24.0
100059,affiliate,ios,SI,74,1,2025-03-09,2025-03-09,74.0
100059,affiliate,ios,LU,168,1,2025-07-17,2025-07-17,168.0
100059,affiliate,ios,CY,57,1,2025-09-07,2025-09-07,57.0
100060,affiliate,ios,LT,86,1,2025-10-04,2025-10-04,86.0
100060,affiliate,ios,GR,40,1,2025-10-30,2025-10-30,40.0
100060,affiliate,ios,SE,113,1,2025-11-23,2025-11-23,113.0
100060,affiliate,ios,SK,70,1,2025-12-05,2025-12-05,70.0
100061,facebook,android,HR,12,1,2025-04-22,2025-04-22,12.0
100061,facebook,android,HU,17,1,2025-05-22,2025-05-22,17.0
100061,facebook,android,NL,26,1,2025-07-18,2025-07-18,26.0
100061,facebook,android,LT,30,1,2025-12-29,2025-12-29,30.0
100062,facebook,android,IT,34,1,2025-05-05,2025-05-05,34.0
100062,facebook,android,MT,43,1,2025-09-10,2025-09-10,43.0
100062,facebook,android,BE,76,1,2025-10-12,2025-10-12,76.0
100062,facebook,android,DK,187,1,2025-11-22,2025-11-22,187.0
100063,tiktok,android,ES,17,1,2025-03-28,2025-03-28,17.0
100063,tiktok,android,SI,23,1,2025-03-31,2025-03-31,23.0
100063,tiktok,android,EE,48,1,2025-05-31,2025-05-31,48.0
100063,tiktok,android,LU,50,1,2025-12-10,2025-12-10,50.0
100064,tiktok,android,BG,28,1,2025-07-30,2025-07-30,28.0
100064,tiktok,android,IT,8,1,2025-09-01,2025-09-01,8.0
100064,tiktok,android,HU,81,1,2025-10-14,2025-10-14,81.0
100064,tiktok,android,LT,35,1,2025-11-30,2025-11-30,35.0
100065,tiktok,android,AT,35,2,2025-01-10,2025-01-29,52.5
100065,tiktok,android,LV,83,1,2025-05-06,2025-05-06,83.0
100065,tiktok,android,HU,100,1,2025-12-02,2025-12-02,100.0
100066,tiktok,android,PT,45,1,2025-02-04,2025-02-04,45.0
100066,tiktok,android,AT,69,1,2025-06-02,2025-06-02,69.0
100066,tiktok,android,IT,32,1,2025-07-03,2025-07-03,32.0
100066,tiktok,android,FI,190,1,2025-12-31,2025-12-31,190.0
100067,tiktok,android,FI,39,1,2025-03-24,2025-03-24,39.0
100067,tiktok,android,SE,144,1,2025-07-14,2025-07-14,144.0
100067,tiktok,android,IE,205,1,2025-10-06,2025-10-06,205.0
100067,tiktok,android,RO,175,1,2025-12-22,2025-12-22,175.0
100068,google,android,LT,15,1,2025-05-17,2025-05-17,15.0
100068,google,android,NL,37,1,2025-06-17,2025-06-17,37.0
100068,google,android,IT,51,2,2025-06-22,2025-06-26,76.5
100069,affiliate,ios,SK,20,1,2025-01-28,2025-01-28,20.0
100069,affiliate,ios,EE,210,2,2025-03-18,2025-07-31,315.0
100069,affiliate,ios,FR,140,1,2025-09-23,2025-09-23,140.0
100070,affiliate,ios,GR,4,1,2025-02-06,2025-02-06,4.0
100070,affiliate,ios,CY,59,1,2025-09-07,2025-09-07,59.0
100070,affiliate,ios,DK,81,1,2025-10-20,2025-10-20,81.0
100070,affiliate,ios,SI,80,1,2025-12-15,2025-12-15,80.0
100071,affiliate,ios,GR,5,1,2025-03-26,2025-03-26,5.0
100071,affiliate,ios,MT,37,1,2025-03-31,2025-03-31,37.0
100071,affiliate,ios,PT,43,1,2025-05-21,2025-05-21,43.0
100071,affiliate,ios,BE,104,1,2025-09-05,2025-09-05,104.0
100072,twitter,android,DE,10,1,2025-01-02,2025-01-02,10.0
100072,twitter,android,LT,95,1,2025-09-04,2025-09-04,95.0
100072,twitter,android,BG,214,1,2025-10-24,2025-10-24,214.0
100072,twitter,android,ES,84,1,2025-12-25,2025-12-25,84.0
100073,twitter,android,SI,80,2,2025-01-02,2025-04-16,120.0
100073,twitter,android,BE,162,1,2025-09-16,2025-09-16,162.0
100073,twitter,android,IE,225,1,2025-12-13,2025-12-13,225.0
100074,twitter,ios,BG,32,2,2025-01-09,2025-02-27,48.0
100074,twitter,ios,MT,14,1,2025-02-16,2025-02-16,14.0
100074,twitter,ios,PT,50,1,2025-12-08,2025-12-08,50.0
100075,twitter,ios,FI,14,1,2025-01-17,2025-01-17,14.0
100075,twitter,ios,SE,579,3,2025-05-01,2025-10-06,1158.0
100076,twitter,ios,LU,29,1,2025-03-12,2025-03-12,29.0
100076,twitter,ios,EE,28,1,2025-07-20,2025-07-20,28.0
100076,twitter,ios,MT,93,1,2025-07-30,2025-07-30,93.0
100076,twitter,ios,SI,105,1,2025-10-27,2025-10-27,105.0
100077,twitter,ios,AT,80,1,2025-03-28,2025-03-28,80.0
100077,twitter,ios,LU,22,1,2025-04-08,2025-04-08,22.0
100077,twitter,ios,DE,30,1,2025-05-21,2025-05-21,30.0
100077,twitter,ios,BG,203,1,2025-09-18,2025-09-18,203.0
100078,twitter,ios,LV,5,1,2025-01-10,2025-01-10,5.0
100078,twitter,ios,FI,109,1,2025-07-30,2025-07-30,109.0
100078,twitter,ios,DK,214,1,2025-10-21,2025-10-21,214.0
100078,twitter,ios,RO,162,1,2025-11-03,2025-11-03,162.0
100079,twitter,ios,PL,17,1,2025-02-08,2025-02-08,17.0
100079,twitter,ios,NL,55,1,2025-08-16,2025-08-16,55.0
100079,twitter,ios,FI,260,1,2025-11-09,2025-11-09,260.0
100079,twitter,ios,LT,260,1,2025-12-08,2025-12-08,260.0
100080,instagram,android,PL,43,1,2025-04-30,2025-04-30,43.0
100080,instagram,android,EE,105,1,2025-06-28,2025-06-28,105.0
100080,instagram,android,HU,42,1,2025-11-19,2025-11-19,42.0
100080,instagram,android,DK,145,1,2025-12-23,2025-12-23,145.0
100081,instagram,android,LT,228,2,2025-03-27,2025-12-23,342.0
100081,instagram,android,AT,153,1,2025-06-16,2025-06-16,153.0
100081,instagram,android,FI,135,1,2025-12-16,2025-12-16,135.0
100082,twitter,android,LU,31,1,2025-02-09,2025-02-09,31.0
100082,twitter,android,SK,50,1,2025-03-30,2025-03-30,50.0
100082,twitter,android,NL,28,1,2025-08-01,2025-08-01,28.0
100082,twitter,android,PL,63,1,2025-12-20,2025-12-20,63.0
100083,twitter,android,LT,92,1,2025-04-22,2025-04-22,92.0
100083,twitter,android,BG,108,1,2025-08-04,2025-08-04,108.0
100083,twitter,android,LV,250,1,2025-11-05,2025-11-05,250.0
100083,twitter,android,CZ,43,1,2025-11-07,2025-11-07,43.0
100084,affiliate,android,LU,120,1,2025-05-17,2025-05-17,120.0
100084,affiliate,android,NL,27,1,2025-07-29,2025-07-29,27.0
100084,affiliate,android,BG,104,1,2025-08-04,2025-08-04,104.0
100084,affiliate,android,SE,90,1,2025-09-10,2025-09-10,90.0
100085,facebook,ios,BG,47,1,2025-03-20,2025-03-20,47.0
100085,facebook,ios,AT,26,1,2025-04-04,2025-04-04,26.0
100085,facebook,ios,FR,88,1,2025-04-30,2025-04-30,88.0
100085,facebook,ios,IT,9,1,2025-05-06,2025-05-06,9.0
100086,facebook,ios,DK,28,1,2025-04-25,2025-04-25,28.0
100086,facebook,ios,CZ,6,1,2025-06-03,2025-06-03,6.0
100086,facebook,ios,LV,28,1,2025-07-23,2025-07-23,28.0
100086,facebook,ios,BE,40,1,2025-12-30,2025-12-30,40.0
100087,tiktok,android,AT,14,1,2025-04-09,2025-04-09,14.0
100087,tiktok,android,SI,140,1,2025-09-09,2025-09-09,140.0
100087,tiktok,android,LU,114,1,2025-10-24,2025-10-24,114.0
100087,tiktok,android,DK,79,1,2025-11-30,2025-11-30,79.0
100088,tiktok,android,IT,49,2,2025-01-12,2025-12-03,73.5
100088,tiktok,android,SE,132,1,2025-06-26,2025-06-26,132.0
100088,tiktok,android,HR,252,1,2025-10-17,2025-10-17,252.0
100089,tiktok,android,SI,16,1,2025-01-21,2025-01-21,16.0
100089,tiktok,android,LT,67,1,2025-07-31,2025-07-31,67.0
100089,tiktok,android,RO,95,1,2025-12-01,2025-12-01,95.0
100089,tiktok,android,PT,245,1,2025-12-23,2025-12-23,245.0
100090,google,ios,HU,24,1,2025-02-11,2025-02-11,24.0
100090,google,ios,PL,39,1,2025-07-21,2025-07-21,39.0
100090,google,ios,NL,21,1,2025-10-14,2025-10-14,21.0
100090,google,ios,LU,48,1,2025-10-28,2025-10-28,48.0
100091,tiktok,ios,DE,48,1,2025-02-07,2025-02-07,48.0
100091,tiktok,ios,RO,42,1,2025-04-29,2025-04-29,42.0
100091,tiktok,ios,SK,21,1,2025-06-07,2025-06-07,21.0
100091,tiktok,ios,IT,30,1,2025-07-31,2025-07-31,30.0
100092,tiktok,ios,RO,98,1,2025-05-16,2025-05-16,98.0
100092,tiktok,ios,SI,214,1,2025-10-27,2025-10-27,214.0
100092,tiktok,ios,DK,100,1,2025-12-04,2025-12-04,100.0
100092,tiktok,ios,BE,140,1,2025-12-31,2025-12-31,140.0
100093,instagram,ios,HR,32,1,2025-03-05,2025-03-05,32.0
100093,instagram,ios,FR,57,1,2025-06-04,2025-06-04,57.0
100093,instagram,ios,RO,164,1,2025-08-09,2025-08-09,164.0
100093,instagram,ios,LV,72,1,2025-09-10,2025-09-10,72.0
100094,instagram,ios,HU,15,1,2025-03-28,2025-03-28,15.0
100094,instagram,ios,FI,108,1,2025-05-22,2025-05-22,108.0
100094,instagram,ios,BG,88,1,2025-08-01,2025-08-01,88.0
100094,instagram,ios,IT,29,1,2025-12-09,2025-12-09,29.0
100095,affiliate,android,DK,6,1,2025-01-26,2025-01-26,6.0
100095,affiliate,android,BG,60,1,2025-05-05,2025-05-05,60.0
100095,affiliate,android,SI,39,1,2025-07-08,2025-07-08,39.0
100095,affiliate,android,ES,21,1,2025-09-28,2025-09-28,21.0
100096,affiliate,android,IE,14,1,2025-01-03,2025-01-03,14.0
100096,affiliate,android,PT,96,1,2025-06-15,2025-06-15,96.0
100096,affiliate,android,HU,39,1,2025-09-30,2025-09-30,39.0
100096,affiliate,android,BE,245,1,2025-12-28,2025-12-28,245.0
100097,instagram,ios,LV,55,1,2025-05-28,2025-05-28,55.0
100097,instagram,ios,HR,63,1,2025-09-30,2025-09-30,63.0
100097,instagram,ios,NL,42,1,2025-10-08,2025-10-08,42.0
100097,instagram,ios,CZ,58,1,2025-11-28,2025-11-28,58.0
100098,facebook,android,NL,45,2,2025-01-31,2025-05-16,67.5
100098,facebook,android,PL,39,1,2025-07-11,2025-07-11,39.0
100098,facebook,android,DK,60,1,2025-07-12,2025-07-12,60.0
100099,google,ios,BE,53,1,2025-05-08,2025-05-08,53.0
100099,google,ios,DE,51,1,2025-06-21,2025-06-21,51.0
100099,google,ios,AT,116,1,2025-07-09,2025-07-09,116.0
100099,google,ios,DK,77,1,2025-07-23,2025-07-23,77.0
100100,facebook,ios,HR,9,1,2025-01-13,2025-01-13,9.0
100100,facebook,ios,LV,92,1,2025-04-14,2025-04-14,92.0
100100,facebook,ios,AT,80,1,2025-05-17,2025-05-17,80.0
100100,facebook,ios,CY,53,1,2025-11-06,2025-11-06,53.0
100101,facebook,ios,LT,106,1,2025-04-13,2025-04-13,106.0
100101,facebook,ios,BG,65,1,2025-05-19,2025-05-19,65.0
100101,facebook,ios,ES,20,1,2025-08-26,2025-08-26,20.0
100101,facebook,ios,LV,34,1,2025-10-01,2025-10-01,34.0
100102,instagram,ios,HU,8,1,2025-01-02,2025-01-02,8.0
100102,instagram,ios,PT,49,1,2025-07-22,2025-07-22,49.0
100102,instagram,ios,GR,15,1,2025-09-18,2025-09-18,15.0
100102,instagram,ios,LT,50,1,2025-12-18,2025-12-18,50.0
100103,instagram,ios,HU,13,1,2025-01-10,2025-01-10,13.0
100103,instagram,ios,SE,222,2,2025-01-20,2025-11-17,333.0
100103,instagram,ios,LU,114,1,2025-10-13,2025-10-13,114.0
100104,google,ios,MT,48,1,2025-04-01,2025-04-01,48.0
100104,google,ios,BG,72,1,2025-06-24,2025-06-24,72.0
100104,google,ios,LU,32,1,2025-09-04,2025-09-04,32.0
100104,google,ios,CY,14,1,2025-10-07,2025-10-07,14.0
100105,instagram,ios,PL,7,1,2025-01-09,2025-01-09,7.0
100105,instagram,ios,SE,22,1,2025-01-09,2025-01-09,22.0
100105,instagram,ios,SK,24,1,2025-01-17,2025-01-17,24.0
100105,instagram,ios,AT,32,1,2025-08-06,2025-08-06,32.0
100106,instagram,ios,PL,36,1,2025-03-23,2025-03-23,36.0
100106,instagram,ios,SI,92,1,2025-04-25,2025-04-25,92.0
100106,instagram,ios,CZ,45,1,2025-09-07,2025-09-07,45.0
