date_start,date_stop,campaign_id,campaign_name,adset_id,adset_name,objective,impressions,clicks,spend,reach,frequency,actions,_fivetran_synced,_fivetran_deleted
2024-01-03,2024-01-03,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,14885,449,1222.8,10419,1.88,"[{""action_type"":""purchase"",""value"":""10.29""},{""action_type"":""link_click"",""value"":""449""}]",2024-01-03T07:00:00Z,false
2024-01-03,2024-01-03,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,3656,77,144.32,2559,2.68,"[{""action_type"":""purchase"",""value"":""4.66""},{""action_type"":""link_click"",""value"":""77""}]",2024-01-03T07:00:00Z,false
2024-01-04,2024-01-04,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,11363,357,874.11,7954,3.21,"[{""action_type"":""purchase"",""value"":""12.8""},{""action_type"":""link_click"",""value"":""357""}]",2024-01-04T07:00:00Z,false
2024-01-04,2024-01-04,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,13985,567,760.72,9789,2.43,"[{""action_type"":""purchase"",""value"":""19.3""},{""action_type"":""link_click"",""value"":""567""}]",2024-01-04T07:00:00Z,false
2024-01-04,2024-01-04,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,8378,205,238.58,5864,2.13,"[{""action_type"":""purchase"",""value"":""6.8""},{""action_type"":""link_click"",""value"":""205""}]",2024-01-04T07:00:00Z,false
2024-01-04,2024-01-04,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,11165,480,928.06,7815,1.32,"[{""action_type"":""purchase"",""value"":""22.4""},{""action_type"":""link_click"",""value"":""480""}]",2024-01-04T07:00:00Z,false
2024-01-05,2024-01-05,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,5168,133,309.66,3617,3.35,"[{""action_type"":""purchase"",""value"":""4.04""},{""action_type"":""link_click"",""value"":""133""}]",2024-01-05T07:00:00Z,false
2024-01-05,2024-01-05,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,6727,120,200.52,4708,1.11,"[{""action_type"":""purchase"",""value"":""4.8""},{""action_type"":""link_click"",""value"":""120""}]",2024-01-05T07:00:00Z,false
2024-01-05,2024-01-05,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,6490,250,587.28,4543,1.37,"[{""action_type"":""purchase"",""value"":""10.29""},{""action_type"":""link_click"",""value"":""250""}]",2024-01-05T07:00:00Z,false
2024-01-05,2024-01-05,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,18892,294,776.79,13224,1.98,"[{""action_type"":""purchase"",""value"":""8.56""},{""action_type"":""link_click"",""value"":""294""}]",2024-01-05T07:00:00Z,false
2024-01-06,2024-01-06,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,11805,398,663.4,8263,2.22,"[{""action_type"":""purchase"",""value"":""16.15""},{""action_type"":""link_click"",""value"":""398""}]",2024-01-06T07:00:00Z,false
2024-01-06,2024-01-06,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,11823,342,184.09,8276,1.27,"[{""action_type"":""purchase"",""value"":""10.22""},{""action_type"":""link_click"",""value"":""342""}]",2024-01-06T07:00:00Z,false
2024-01-06,2024-01-06,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,15649,521,1215.25,10954,2.72,"[{""action_type"":""purchase"",""value"":""27.88""},{""action_type"":""link_click"",""value"":""521""}]",2024-01-06T07:00:00Z,false
2024-01-06,2024-01-06,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,2873,97,107.74,2011,3.43,"[{""action_type"":""purchase"",""value"":""4.79""},{""action_type"":""link_click"",""value"":""97""}]",2024-01-06T07:00:00Z,false
2024-01-07,2024-01-07,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,9456,367,676.05,6619,2.57,"[{""action_type"":""purchase"",""value"":""7.42""},{""action_type"":""link_click"",""value"":""367""}]",2024-01-07T07:00:00Z,false
2024-01-07,2024-01-07,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,14458,230,475.1,10120,3.37,"[{""action_type"":""purchase"",""value"":""2.74""},{""action_type"":""link_click"",""value"":""230""}]",2024-01-07T07:00:00Z,false
2024-01-07,2024-01-07,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,5601,98,148.41,3920,2.03,"[{""action_type"":""purchase"",""value"":""3.44""},{""action_type"":""link_click"",""value"":""98""}]",2024-01-07T07:00:00Z,false
2024-01-07,2024-01-07,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,8681,229,522.68,6076,3.18,"[{""action_type"":""purchase"",""value"":""14.94""},{""action_type"":""link_click"",""value"":""229""}]",2024-01-07T07:00:00Z,false
2024-01-08,2024-01-08,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,4040,154,260.72,2828,3.5,"[{""action_type"":""purchase"",""value"":""6.72""},{""action_type"":""link_click"",""value"":""154""}]",2024-01-08T07:00:00Z,false
2024-01-08,2024-01-08,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,17675,548,669.45,12372,3.28,"[{""action_type"":""purchase"",""value"":""11.17""},{""action_type"":""link_click"",""value"":""548""}]",2024-01-08T07:00:00Z,false
2024-01-08,2024-01-08,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,13217,420,862.89,9251,2.7,"[{""action_type"":""purchase"",""value"":""26.06""},{""action_type"":""link_click"",""value"":""420""}]",2024-01-08T07:00:00Z,false
2024-01-08,2024-01-08,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,10662,366,344.85,7463,2.4,"[{""action_type"":""purchase"",""value"":""9.07""},{""action_type"":""link_click"",""value"":""366""}]",2024-01-08T07:00:00Z,false
2024-01-09,2024-01-09,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,9368,446,1230.6,6557,2.76,"[{""action_type"":""purchase"",""value"":""25.1""},{""action_type"":""link_click"",""value"":""446""}]",2024-01-09T07:00:00Z,false
2024-01-09,2024-01-09,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,18023,408,531.32,12616,2.99,"[{""action_type"":""purchase"",""value"":""26.94""},{""action_type"":""link_click"",""value"":""408""}]",2024-01-09T07:00:00Z,false
2024-01-09,2024-01-09,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,10960,235,427.46,7671,3.24,"[{""action_type"":""purchase"",""value"":""10.01""},{""action_type"":""link_click"",""value"":""235""}]",2024-01-09T07:00:00Z,false
2024-01-09,2024-01-09,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,14928,637,1717.1,10449,1.73,"[{""action_type"":""purchase"",""value"":""37.12""},{""action_type"":""link_click"",""value"":""637""}]",2024-01-09T07:00:00Z,false
2024-01-10,2024-01-10,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,11425,550,374.97,7997,2.64,"[{""action_type"":""purchase"",""value"":""35.99""},{""action_type"":""link_click"",""value"":""550""}]",2024-01-10T07:00:00Z,false
2024-01-10,2024-01-10,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,17698,328,788.61,12388,2.41,"[{""action_type"":""purchase"",""value"":""8.62""},{""action_type"":""link_click"",""value"":""328""}]",2024-01-10T07:00:00Z,false
2024-01-10,2024-01-10,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,10900,168,321.9,7629,1.61,"[{""action_type"":""purchase"",""value"":""7.6""},{""action_type"":""link_click"",""value"":""168""}]",2024-01-10T07:00:00Z,false
2024-01-10,2024-01-10,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,19401,369,382.11,13580,1.83,"[{""action_type"":""purchase"",""value"":""5.91""},{""action_type"":""link_click"",""value"":""369""}]",2024-01-10T07:00:00Z,false
2024-01-11,2024-01-11,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,17479,245,556.83,12235,2.38,"[{""action_type"":""purchase"",""value"":""2.53""},{""action_type"":""link_click"",""value"":""245""}]",2024-01-11T07:00:00Z,false
2024-01-11,2024-01-11,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,7175,188,498.31,5022,2.19,"[{""action_type"":""purchase"",""value"":""11.79""},{""action_type"":""link_click"",""value"":""188""}]",2024-01-11T07:00:00Z,false
2024-01-11,2024-01-11,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,8535,343,398.11,5974,1.15,"[{""action_type"":""purchase"",""value"":""9.3""},{""action_type"":""link_click"",""value"":""343""}]",2024-01-11T07:00:00Z,false
2024-01-11,2024-01-11,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,4931,177,183.04,3451,3.13,"[{""action_type"":""purchase"",""value"":""9.61""},{""action_type"":""link_click"",""value"":""177""}]",2024-01-11T07:00:00Z,false
2024-01-12,2024-01-12,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,3222,149,134.49,2255,1.44,"[{""action_type"":""purchase"",""value"":""9.38""},{""action_type"":""link_click"",""value"":""149""}]",2024-01-12T07:00:00Z,false
2024-01-12,2024-01-12,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,3190,159,224.68,2233,3.34,"[{""action_type"":""purchase"",""value"":""6.32""},{""action_type"":""link_click"",""value"":""159""}]",2024-01-12T07:00:00Z,false
2024-01-12,2024-01-12,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,11485,517,269.52,8039,1.27,"[{""action_type"":""purchase"",""value"":""22.79""},{""action_type"":""link_click"",""value"":""517""}]",2024-01-12T07:00:00Z,false
2024-01-12,2024-01-12,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,12978,277,768.66,9084,2.23,"[{""action_type"":""purchase"",""value"":""11.8""},{""action_type"":""link_click"",""value"":""277""}]",2024-01-12T07:00:00Z,false
2024-01-13,2024-01-13,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,6397,281,442.98,4477,1.28,"[{""action_type"":""purchase"",""value"":""6.06""},{""action_type"":""link_click"",""value"":""281""}]",2024-01-13T07:00:00Z,false
2024-01-13,2024-01-13,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,7324,287,571.43,5126,1.04,"[{""action_type"":""purchase"",""value"":""15.24""},{""action_type"":""link_click"",""value"":""287""}]",2024-01-13T07:00:00Z,false
2024-01-13,2024-01-13,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,13046,543,980.6,9132,1.44,"[{""action_type"":""purchase"",""value"":""30.1""},{""action_type"":""link_click"",""value"":""543""}]",2024-01-13T07:00:00Z,false
2024-01-13,2024-01-13,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,15287,658,1108.83,10700,2.67,"[{""action_type"":""purchase"",""value"":""10.0""},{""action_type"":""link_click"",""value"":""658""}]",2024-01-13T07:00:00Z,false
2024-01-14,2024-01-14,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,8054,396,632.87,5637,1.02,"[{""action_type"":""purchase"",""value"":""26.2""},{""action_type"":""link_click"",""value"":""396""}]",2024-01-14T07:00:00Z,false
2024-01-14,2024-01-14,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,14568,282,629.89,10197,1.75,"[{""action_type"":""purchase"",""value"":""18.96""},{""action_type"":""link_click"",""value"":""282""}]",2024-01-14T07:00:00Z,false
2024-01-14,2024-01-14,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,2374,48,63.69,1661,2.67,"[{""action_type"":""purchase"",""value"":""1.16""},{""action_type"":""link_click"",""value"":""48""}]",2024-01-14T07:00:00Z,false
2024-01-14,2024-01-14,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,17250,384,550.06,12075,3.24,"[{""action_type"":""purchase"",""value"":""15.42""},{""action_type"":""link_click"",""value"":""384""}]",2024-01-14T07:00:00Z,false
2024-01-15,2024-01-15,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,12190,458,901.82,8533,1.92,"[{""action_type"":""purchase"",""value"":""30.43""},{""action_type"":""link_click"",""value"":""458""}]",2024-01-15T07:00:00Z,false
2024-01-15,2024-01-15,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,9236,173,139.65,6465,2.87,"[{""action_type"":""purchase"",""value"":""3.32""},{""action_type"":""link_click"",""value"":""173""}]",2024-01-15T07:00:00Z,false
2024-01-15,2024-01-15,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,14242,379,668.27,9969,2.34,"[{""action_type"":""purchase"",""value"":""14.5""},{""action_type"":""link_click"",""value"":""379""}]",2024-01-15T07:00:00Z,false
2024-01-15,2024-01-15,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,9156,370,763.97,6409,2.97,"[{""action_type"":""purchase"",""value"":""16.93""},{""action_type"":""link_click"",""value"":""370""}]",2024-01-15T07:00:00Z,false
2024-01-16,2024-01-16,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,19219,535,1133.48,13453,2.41,"[{""action_type"":""purchase"",""value"":""7.86""},{""action_type"":""link_click"",""value"":""535""}]",2024-01-16T07:00:00Z,false
2024-01-16,2024-01-16,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,4023,173,445.76,2816,2.34,"[{""action_type"":""purchase"",""value"":""3.83""},{""action_type"":""link_click"",""value"":""173""}]",2024-01-16T07:00:00Z,false
2024-01-16,2024-01-16,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,7391,170,288.45,5173,1.51,"[{""action_type"":""purchase"",""value"":""2.89""},{""action_type"":""link_click"",""value"":""170""}]",2024-01-16T07:00:00Z,false
2024-01-16,2024-01-16,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,18017,245,410.1,12611,2.13,"[{""action_type"":""purchase"",""value"":""14.34""},{""action_type"":""link_click"",""value"":""245""}]",2024-01-16T07:00:00Z,false
2024-01-17,2024-01-17,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,18818,500,898.5,13172,2.68,"[{""action_type"":""purchase"",""value"":""21.76""},{""action_type"":""link_click"",""value"":""500""}]",2024-01-17T07:00:00Z,false
2024-01-17,2024-01-17,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,12098,470,663.02,8468,2.86,"[{""action_type"":""purchase"",""value"":""27.72""},{""action_type"":""link_click"",""value"":""470""}]",2024-01-17T07:00:00Z,false
2024-01-17,2024-01-17,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,4393,51,65.91,3075,3.49,"[{""action_type"":""purchase"",""value"":""0.71""},{""action_type"":""link_click"",""value"":""51""}]",2024-01-17T07:00:00Z,false
2024-01-17,2024-01-17,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,4261,210,333.01,2982,1.45,"[{""action_type"":""purchase"",""value"":""5.72""},{""action_type"":""link_click"",""value"":""210""}]",2024-01-17T07:00:00Z,false
2024-01-18,2024-01-18,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,6437,261,717.79,4505,2.05,"[{""action_type"":""purchase"",""value"":""12.72""},{""action_type"":""link_click"",""value"":""261""}]",2024-01-18T07:00:00Z,false
2024-01-18,2024-01-18,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,14533,406,1059.4,10173,1.2,"[{""action_type"":""purchase"",""value"":""13.26""},{""action_type"":""link_click"",""value"":""406""}]",2024-01-18T07:00:00Z,false
2024-01-18,2024-01-18,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,19671,301,746.08,13769,3.48,"[{""action_type"":""purchase"",""value"":""5.15""},{""action_type"":""link_click"",""value"":""301""}]",2024-01-18T07:00:00Z,false
2024-01-18,2024-01-18,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,14879,463,1006.6,10415,1.01,"[{""action_type"":""purchase"",""value"":""10.82""},{""action_type"":""link_click"",""value"":""463""}]",2024-01-18T07:00:00Z,false
2024-01-19,2024-01-19,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,2744,134,209.7,1920,2.06,"[{""action_type"":""purchase"",""value"":""7.12""},{""action_type"":""link_click"",""value"":""134""}]",2024-01-19T07:00:00Z,false
2024-01-19,2024-01-19,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,14428,619,661.88,10099,1.69,"[{""action_type"":""purchase"",""value"":""19.05""},{""action_type"":""link_click"",""value"":""619""}]",2024-01-19T07:00:00Z,false
2024-01-19,2024-01-19,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,5697,64,129.18,3987,3.34,"[{""action_type"":""purchase"",""value"":""3.0""},{""action_type"":""link_click"",""value"":""64""}]",2024-01-19T07:00:00Z,false
2024-01-19,2024-01-19,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,2512,49,32.08,1758,2.12,"[{""action_type"":""purchase"",""value"":""2.24""},{""action_type"":""link_click"",""value"":""49""}]",2024-01-19T07:00:00Z,false
2024-01-20,2024-01-20,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,3595,71,42.72,2516,2.35,"[{""action_type"":""purchase"",""value"":""2.58""},{""action_type"":""link_click"",""value"":""71""}]",2024-01-20T07:00:00Z,false
2024-01-20,2024-01-20,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,3849,60,167.1,2694,3.29,"[{""action_type"":""purchase"",""value"":""1.44""},{""action_type"":""link_click"",""value"":""60""}]",2024-01-20T07:00:00Z,false
2024-01-20,2024-01-20,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,12449,412,938.06,8714,1.59,"[{""action_type"":""purchase"",""value"":""24.35""},{""action_type"":""link_click"",""value"":""412""}]",2024-01-20T07:00:00Z,false
2024-01-20,2024-01-20,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,6694,330,560.63,4685,1.69,"[{""action_type"":""purchase"",""value"":""11.49""},{""action_type"":""link_click"",""value"":""330""}]",2024-01-20T07:00:00Z,false
2024-01-21,2024-01-21,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,7738,271,401.77,5416,3.43,"[{""action_type"":""purchase"",""value"":""10.77""},{""action_type"":""link_click"",""value"":""271""}]",2024-01-21T07:00:00Z,false
2024-01-21,2024-01-21,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,14489,600,739.85,10142,1.37,"[{""action_type"":""purchase"",""value"":""20.99""},{""action_type"":""link_click"",""value"":""600""}]",2024-01-21T07:00:00Z,false
2024-01-21,2024-01-21,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,14335,248,430.83,10034,1.56,"[{""action_type"":""purchase"",""value"":""6.07""},{""action_type"":""link_click"",""value"":""248""}]",2024-01-21T07:00:00Z,false
2024-01-21,2024-01-21,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,6730,284,739.51,4711,3.42,"[{""action_type"":""purchase"",""value"":""12.42""},{""action_type"":""link_click"",""value"":""284""}]",2024-01-21T07:00:00Z,false
2024-01-22,2024-01-22,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,19366,297,314.4,13556,2.62,"[{""action_type"":""purchase"",""value"":""6.59""},{""action_type"":""link_click"",""value"":""297""}]",2024-01-22T07:00:00Z,false
2024-01-22,2024-01-22,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,16738,734,523.1,11716,1.48,"[{""action_type"":""purchase"",""value"":""39.25""},{""action_type"":""link_click"",""value"":""734""}]",2024-01-22T07:00:00Z,false
2024-01-22,2024-01-22,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,10796,270,510.69,7557,1.18,"[{""action_type"":""purchase"",""value"":""3.34""},{""action_type"":""link_click"",""value"":""270""}]",2024-01-22T07:00:00Z,false
2024-01-22,2024-01-22,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,9111,265,662.44,6377,3.39,"[{""action_type"":""purchase"",""value"":""7.94""},{""action_type"":""link_click"",""value"":""265""}]",2024-01-22T07:00:00Z,false
2024-01-23,2024-01-23,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,2502,46,43.1,1751,2.87,"[{""action_type"":""purchase"",""value"":""2.51""},{""action_type"":""link_click"",""value"":""46""}]",2024-01-23T07:00:00Z,false
2024-01-23,2024-01-23,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,17693,824,1730.35,12385,1.99,"[{""action_type"":""purchase"",""value"":""43.03""},{""action_type"":""link_click"",""value"":""824""}]",2024-01-23T07:00:00Z,false
2024-01-23,2024-01-23,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,9842,315,719.36,6889,2.33,"[{""action_type"":""purchase"",""value"":""10.34""},{""action_type"":""link_click"",""value"":""315""}]",2024-01-23T07:00:00Z,false
2024-01-23,2024-01-23,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,13772,307,407.45,9640,2.17,"[{""action_type"":""purchase"",""value"":""19.33""},{""action_type"":""link_click"",""value"":""307""}]",2024-01-23T07:00:00Z,false
2024-01-24,2024-01-24,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,17384,703,869.29,12168,1.78,"[{""action_type"":""purchase"",""value"":""15.6""},{""action_type"":""link_click"",""value"":""703""}]",2024-01-24T07:00:00Z,false
2024-01-24,2024-01-24,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,3498,113,114.01,2448,1.65,"[{""action_type"":""purchase"",""value"":""2.12""},{""action_type"":""link_click"",""value"":""113""}]",2024-01-24T07:00:00Z,false
2024-01-24,2024-01-24,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,15683,342,325.32,10978,2.42,"[{""action_type"":""purchase"",""value"":""8.14""},{""action_type"":""link_click"",""value"":""342""}]",2024-01-24T07:00:00Z,false
2024-01-24,2024-01-24,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,10052,301,603.69,7036,1.64,"[{""action_type"":""purchase"",""value"":""15.38""},{""action_type"":""link_click"",""value"":""301""}]",2024-01-24T07:00:00Z,false
2024-01-25,2024-01-25,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,18011,876,1730.89,12607,1.42,"[{""action_type"":""purchase"",""value"":""34.55""},{""action_type"":""link_click"",""value"":""876""}]",2024-01-25T07:00:00Z,false
2024-01-25,2024-01-25,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,13540,227,489.58,9478,3.29,"[{""action_type"":""purchase"",""value"":""8.92""},{""action_type"":""link_click"",""value"":""227""}]",2024-01-25T07:00:00Z,false
2024-01-25,2024-01-25,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,19764,980,2647.61,13834,3.1,"[{""action_type"":""purchase"",""value"":""40.61""},{""action_type"":""link_click"",""value"":""980""}]",2024-01-25T07:00:00Z,false
2024-01-25,2024-01-25,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,4435,212,431.82,3104,2.03,"[{""action_type"":""purchase"",""value"":""11.84""},{""action_type"":""link_click"",""value"":""212""}]",2024-01-25T07:00:00Z,false
2024-01-26,2024-01-26,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,9583,121,102.53,6708,2.14,"[{""action_type"":""purchase"",""value"":""2.8""},{""action_type"":""link_click"",""value"":""121""}]",2024-01-26T07:00:00Z,false
2024-01-26,2024-01-26,221002,MOF - Traffic,221002a,Lookalike 2%,LINK_CLICKS,3980,138,280.63,2786,2.21,"[{""action_type"":""purchase"",""value"":""6.48""},{""action_type"":""link_click"",""value"":""138""}]",2024-01-26T07:00:00Z,false
2024-01-26,2024-01-26,221003,BOF - Conversions,221003a,Retargeting 30d,CONVERSIONS,17986,191,329.3,12590,1.04,"[{""action_type"":""purchase"",""value"":""6.62""},{""action_type"":""link_click"",""value"":""191""}]",2024-01-26T07:00:00Z,false
2024-01-26,2024-01-26,221004,BOF - Catalogue,221004a,DPA All Products,PRODUCT_CATALOG_SALES,11002,345,399.99,7701,2.74,"[{""action_type"":""purchase"",""value"":""13.85""},{""action_type"":""link_click"",""value"":""345""}]",2024-01-26T07:00:00Z,false
2024-01-27,2024-01-27,221001,TOF - Awareness,221001a,Broad Audience,BRAND_AWARENESS,16109,680,1762.89,11276,1.24,"[{""action_type"":""purchase"",""value"":""11.17""},{""action_type"":""link_click"",""value"":""680""}]",2024-01-27T07:00:00Z,false
