user_id,purchase_date,platform,ad_source,purchase_amount,country
u_10036,2025-01-06,ios,google_ads,21.32,DE
u_10036,2025-01-06,ios,google_ads,15.22,DE
u_10021,2025-01-06,ios,google_ads,35.64,PL
u_10071,2025-01-06,ios,tiktok,26.12,ES
u_10072,2025-01-06,android,google_ads,33.36,DE
u_10073,2025-01-06,android,google_ads,61.21,NL
u_10074,2025-01-06,android,google_ads,44.79,SE
u_10075,2025-01-06,ios,google_ads,68.42,DE
u_10076,2025-01-06,ios,tiktok,28.08,ES
u_10077,2025-01-06,android,twitter,68.52,BE
u_10078,2025-01-06,android,instagram,10.53,PL
u_10079,2025-01-06,android,google_ads,54.88,IT
u_10080,2025-01-06,android,instagram,28.78,SE
u_10081,2025-01-06,android,tiktok,38.46,SE
u_10082,2025-01-06,ios,google_ads,6.99,ES
u_10083,2025-01-06,ios,twitter,17.95,PL
u_10084,2025-01-06,android,instagram,32.33,PL
u_10026,2025-01-07,android,instagram,44.99,DE
u_10044,2025-01-07,ios,twitter,61.07,FR
u_10070,2025-01-07,ios,google_ads,21.23,SE
u_10013,2025-01-07,ios,instagram,35.08,NL
u_10050,2025-01-07,android,tiktok,36.86,IE
u_10058,2025-01-07,android,twitter,23.12,IE
u_10009,2025-01-07,android,facebook,70.63,IE
u_10053,2025-01-07,ios,instagram,16.47,PL
u_10085,2025-01-07,ios,instagram,45.55,ES
u_10086,2025-01-07,android,tiktok,33.88,FR
u_10087,2025-01-07,ios,instagram,14.61,BE
u_10088,2025-01-07,ios,google_ads,57.18,BE
u_10089,2025-01-07,ios,google_ads,79.06,PT
u_10090,2025-01-07,android,twitter,58.24,PL
u_10091,2025-01-07,android,google_ads,33.59,FR
u_10092,2025-01-07,android,instagram,24.02,DE
u_10093,2025-01-07,ios,facebook,42.72,DE
u_10094,2025-01-07,ios,instagram,18.22,DE
u_10095,2025-01-07,android,google_ads,43.05,PL
u_10096,2025-01-07,android,tiktok,61.07,IT
u_10097,2025-01-07,ios,google_ads,57.66,DE
u_10098,2025-01-07,android,twitter,48.72,SE
u_10099,2025-01-07,ios,tiktok,29.6,FR
u_10100,2025-01-07,ios,facebook,35.49,BE
u_10012,2025-01-08,android,google_ads,49.63,DE
u_10078,2025-01-08,android,instagram,14.57,PL
u_10049,2025-01-08,ios,instagram,18.23,SE
u_10077,2025-01-08,android,twitter,65.16,BE
u_10078,2025-01-08,android,instagram,7.87,PL
u_10054,2025-01-08,ios,google_ads,32.08,DE
u_10101,2025-01-08,android,google_ads,26.53,IT
u_10102,2025-01-08,android,instagram,32.04,SE
u_10103,2025-01-08,ios,tiktok,40.54,PL
u_10104,2025-01-08,ios,google_ads,52.14,IE
u_10105,2025-01-08,android,tiktok,38.39,SE
u_10106,2025-01-08,ios,google_ads,72.87,DE
u_10107,2025-01-08,android,facebook,13.97,ES
u_10108,2025-01-08,ios,facebook,42.9,IT
u_10109,2025-01-08,android,twitter,36.88,PT
u_10110,2025-01-08,android,facebook,44.78,ES
u_10111,2025-01-08,ios,instagram,19.1,ES
u_10112,2025-01-08,android,google_ads,46.74,PT
u_10113,2025-01-08,ios,instagram,39.92,DE
u_10064,2025-01-09,android,tiktok,14.34,DE
u_10070,2025-01-09,ios,google_ads,24.36,SE
u_10095,2025-01-09,android,google_ads,67.27,PL
u_10066,2025-01-09,android,instagram,76.6,ES
u_10025,2025-01-09,ios,instagram,54.98,IE
u_10024,2025-01-09,android,facebook,46.46,NL
u_10069,2025-01-09,android,google_ads,33.98,NL
u_10067,2025-01-09,ios,google_ads,56.96,SE
u_10114,2025-01-09,android,instagram,55.58,DE
u_10115,2025-01-09,ios,google_ads,38.38,FR
u_10116,2025-01-09,ios,tiktok,28.76,NL
u_10117,2025-01-09,ios,instagram,32.31,SE
u_10118,2025-01-09,ios,instagram,78.95,IE
u_10119,2025-01-09,ios,tiktok,28.19,PT
u_10120,2025-01-09,android,twitter,45.19,PL
u_10121,2025-01-09,ios,facebook,33.15,FR
u_10122,2025-01-09,ios,twitter,36.04,FR
u_10123,2025-01-09,ios,facebook,64.0,PT
u_10124,2025-01-09,ios,instagram,68.94,FR
u_10125,2025-01-09,ios,google_ads,69.53,DE
u_10126,2025-01-09,ios,twitter,56.35,IT
u_10127,2025-01-09,android,tiktok,57.63,IE
u_10128,2025-01-09,android,facebook,30.41,BE
u_10129,2025-01-09,android,google_ads,6.99,SE
u_10053,2025-01-10,ios,instagram,16.74,PL
u_10090,2025-01-10,android,twitter,49.16,PL
u_10066,2025-01-10,android,instagram,48.89,ES
u_10030,2025-01-10,ios,instagram,26.48,PT
u_10069,2025-01-10,android,google_ads,23.31,NL
u_10036,2025-01-10,ios,google_ads,16.6,DE
u_10015,2025-01-10,ios,twitter,36.99,ES
u_10030,2025-01-10,ios,instagram,25.58,PT
u_10130,2025-01-10,android,google_ads,62.99,PT
u_10131,2025-01-10,ios,facebook,28.49,DE
u_10132,2025-01-10,android,instagram,81.76,DE
u_10133,2025-01-10,ios,tiktok,70.95,DE
u_10134,2025-01-10,ios,facebook,15.57,SE
u_10135,2025-01-10,ios,google_ads,32.03,IE
u_10136,2025-01-10,android,instagram,54.26,DE
u_10137,2025-01-10,android,tiktok,44.3,IT
u_10138,2025-01-10,android,google_ads,29.99,FR
u_10139,2025-01-10,ios,google_ads,28.05,NL
u_10140,2025-01-10,android,facebook,26.13,PL
u_10141,2025-01-10,android,google_ads,30.62,BE
u_10142,2025-01-10,android,instagram,55.2,DE
u_10143,2025-01-10,ios,tiktok,57.95,IE
u_10144,2025-01-10,android,facebook,62.8,IT
u_10145,2025-01-10,ios,google_ads,25.81,BE
u_10117,2025-01-11,ios,instagram,40.05,SE
u_10067,2025-01-11,ios,google_ads,54.35,SE
u_10099,2025-01-11,ios,tiktok,41.6,FR
u_10011,2025-01-11,android,google_ads,18.31,SE
u_10016,2025-01-11,ios,google_ads,64.64,SE
u_10043,2025-01-11,android,tiktok,53.87,ES
u_10146,2025-01-11,ios,twitter,43.45,IT
u_10147,2025-01-11,android,google_ads,25.65,BE
u_10148,2025-01-11,android,twitter,48.57,DE
u_10149,2025-01-11,android,facebook,51.48,IE
u_10150,2025-01-11,android,instagram,68.12,IT
u_10151,2025-01-11,android,facebook,38.21,ES
u_10152,2025-01-11,android,facebook,44.03,DE
u_10153,2025-01-11,ios,facebook,12.96,ES
u_10154,2025-01-11,ios,twitter,56.46,BE
u_10155,2025-01-11,ios,google_ads,51.59,DE
u_10156,2025-01-11,android,tiktok,20.09,PL
u_10157,2025-01-11,ios,google_ads,13.51,FR
u_10033,2025-01-12,android,instagram,5.56,DE
u_10101,2025-01-12,android,google_ads,29.78,IT
u_10067,2025-01-12,ios,google_ads,56.92,SE
u_10129,2025-01-12,android,google_ads,5.58,SE
u_10021,2025-01-12,ios,google_ads,35.64,PL
u_10158,2025-01-12,ios,tiktok,51.4,SE
u_10159,2025-01-12,android,tiktok,35.47,SE
u_10160,2025-01-12,ios,google_ads,78.82,DE
u_10161,2025-01-12,android,google_ads,62.44,BE
u_10162,2025-01-12,android,google_ads,45.58,DE
u_10163,2025-01-12,ios,facebook,42.3,DE
u_10164,2025-01-12,android,google_ads,31.32,PL
u_10165,2025-01-12,android,google_ads,31.55,DE
u_10166,2025-01-12,ios,instagram,24.31,DE
u_10167,2025-01-12,ios,instagram,46.96,PL
u_10168,2025-01-12,android,tiktok,30.77,PL
u_10039,2025-01-13,android,tiktok,31.1,NL
u_10084,2025-01-13,android,instagram,23.43,PL
u_10031,2025-01-13,android,google_ads,42.33,FR
u_10100,2025-01-13,ios,facebook,34.45,BE
u_10137,2025-01-13,android,tiktok,44.05,IT
u_10067,2025-01-13,ios,google_ads,52.57,SE
u_10004,2025-01-13,android,tiktok,27.7,DE
u_10169,2025-01-13,android,tiktok,68.0,ES
u_10170,2025-01-13,android,facebook,58.1,ES
u_10171,2025-01-13,android,google_ads,64.6,DE
u_10172,2025-01-13,android,google_ads,54.43,ES
u_10173,2025-01-13,android,facebook,78.58,SE
u_10174,2025-01-13,android,tiktok,44.83,IE
u_10175,2025-01-13,android,twitter,51.68,PL
u_10176,2025-01-13,android,facebook,13.56,IT
u_10177,2025-01-13,ios,facebook,40.09,ES
u_10178,2025-01-13,ios,google_ads,21.5,BE
u_10179,2025-01-13,android,instagram,22.39,FR
u_10180,2025-01-13,android,twitter,59.92,PT
u_10181,2025-01-13,android,tiktok,50.52,PL
u_10182,2025-01-13,android,tiktok,34.41,DE
u_10183,2025-01-13,ios,facebook,55.77,FR
u_10184,2025-01-13,ios,google_ads,54.5,ES
u_10116,2025-01-14,ios,tiktok,34.55,NL
u_10096,2025-01-14,android,tiktok,36.81,IT
u_10168,2025-01-14,android,tiktok,46.61,PL
u_10118,2025-01-14,ios,instagram,31.56,IE
u_10001,2025-01-14,android,instagram,5.65,PL
u_10185,2025-01-14,ios,google_ads,32.11,FR
u_10186,2025-01-14,android,instagram,14.47,DE
u_10187,2025-01-14,ios,google_ads,53.32,IT
u_10188,2025-01-14,ios,google_ads,16.35,ES
u_10189,2025-01-14,android,facebook,18.97,FR
u_10190,2025-01-14,android,google_ads,37.51,SE
u_10191,2025-01-14,ios,twitter,15.56,DE
u_10192,2025-01-14,android,google_ads,37.37,DE
u_10193,2025-01-14,android,google_ads,43.75,BE
u_10194,2025-01-14,ios,tiktok,46.51,BE
u_10195,2025-01-14,android,google_ads,27.9,DE
u_10017,2025-01-15,android,tiktok,37.97,NL
u_10195,2025-01-15,android,google_ads,21.33,DE
u_10031,2025-01-15,android,google_ads,72.85,FR
u_10169,2025-01-15,android,tiktok,36.96,ES
u_10103,2025-01-15,ios,tiktok,41.75,PL
u_10002,2025-01-15,ios,twitter,59.92,SE
u_10114,2025-01-15,android,instagram,73.68,DE
u_10172,2025-01-15,android,google_ads,44.79,ES
u_10084,2025-01-15,android,instagram,25.39,PL
u_10196,2025-01-15,ios,google_ads,27.72,PT
u_10197,2025-01-15,ios,facebook,80.15,FR
u_10198,2025-01-15,android,instagram,62.65,NL
u_10199,2025-01-15,android,instagram,19.81,BE
u_10200,2025-01-15,android,twitter,26.64,BE
u_10201,2025-01-15,ios,facebook,34.48,NL
u_10202,2025-01-15,ios,tiktok,19.57,NL
u_10203,2025-01-15,android,instagram,34.62,SE
u_10204,2025-01-15,android,google_ads,60.19,IT
u_10205,2025-01-15,android,tiktok,55.49,FR
u_10206,2025-01-15,android,google_ads,34.59,IT
u_10207,2025-01-15,ios,instagram,22.98,IE
u_10208,2025-01-15,ios,twitter,59.61,PL
u_10209,2025-01-15,ios,instagram,29.57,PT
u_10210,2025-01-15,ios,google_ads,81.47,SE
u_10211,2025-01-15,ios,tiktok,24.1,PT
u_10212,2025-01-15,android,instagram,32.01,DE
u_10213,2025-01-15,ios,instagram,30.68,NL
u_10214,2025-01-15,android,google_ads,38.91,DE
u_10215,2025-01-15,ios,tiktok,32.76,PT
u_10108,2025-01-16,ios,facebook,38.91,IT
u_10148,2025-01-16,android,twitter,43.41,DE
u_10103,2025-01-16,ios,tiktok,40.83,PL
u_10140,2025-01-16,android,facebook,26.98,PL
u_10132,2025-01-16,android,instagram,74.32,DE
u_10162,2025-01-16,android,google_ads,29.18,DE
u_10159,2025-01-16,android,tiktok,34.85,SE
u_10119,2025-01-16,ios,tiktok,24.72,PT
u_10151,2025-01-16,android,facebook,36.03,ES
u_10216,2025-01-16,ios,instagram,53.33,FR
u_10217,2025-01-16,ios,instagram,59.78,IE
u_10218,2025-01-16,ios,twitter,9.61,IE
u_10219,2025-01-16,android,twitter,13.72,FR
u_10220,2025-01-16,ios,twitter,6.99,FR
u_10221,2025-01-16,android,google_ads,8.37,BE
u_10222,2025-01-16,ios,instagram,28.15,PL
u_10223,2025-01-16,ios,google_ads,40.85,DE
u_10224,2025-01-16,ios,google_ads,54.36,FR
u_10225,2025-01-16,ios,tiktok,28.33,FR
u_10226,2025-01-16,ios,facebook,56.95,ES
u_10227,2025-01-16,ios,google_ads,44.35,FR
u_10228,2025-01-16,ios,google_ads,18.37,FR
u_10229,2025-01-16,android,tiktok,35.3,PL
u_10230,2025-01-16,ios,google_ads,47.74,PT
u_10231,2025-01-16,android,twitter,44.75,PT
u_10232,2025-01-16,android,tiktok,6.99,PL
u_10233,2025-01-16,ios,tiktok,68.99,FR
u_10234,2025-01-16,android,google_ads,40.26,DE
u_10006,2025-01-17,android,facebook,87.09,PL
u_10141,2025-01-17,android,google_ads,36.98,BE
u_10151,2025-01-17,android,facebook,34.62,ES
u_10094,2025-01-17,ios,instagram,24.33,DE
u_10076,2025-01-17,ios,tiktok,28.06,ES
u_10217,2025-01-17,ios,instagram,65.98,IE
u_10047,2025-01-17,ios,tiktok,31.48,BE
u_10058,2025-01-17,android,twitter,46.98,IE
u_10235,2025-01-17,android,instagram,29.41,NL
u_10236,2025-01-17,android,instagram,48.1,DE
u_10237,2025-01-17,android,facebook,47.44,PL
u_10238,2025-01-17,android,tiktok,32.3,FR
u_10239,2025-01-17,android,twitter,17.29,IT
u_10240,2025-01-17,android,twitter,30.44,FR
u_10241,2025-01-17,ios,tiktok,16.91,BE
u_10242,2025-01-17,android,twitter,29.93,DE
u_10243,2025-01-17,ios,google_ads,39.4,IE
u_10244,2025-01-17,android,google_ads,45.6,IT
u_10245,2025-01-17,ios,twitter,48.76,BE
u_10246,2025-01-17,ios,tiktok,57.44,BE
u_10247,2025-01-17,ios,google_ads,22.9,FR
u_10248,2025-01-17,android,facebook,15.86,DE
u_10249,2025-01-17,android,twitter,65.91,IT
u_10250,2025-01-17,ios,instagram,43.63,ES
u_10251,2025-01-17,ios,twitter,30.88,IT
u_10252,2025-01-17,ios,facebook,31.33,SE
u_10148,2025-01-18,android,twitter,30.07,DE
u_10119,2025-01-18,ios,tiktok,17.18,PT
u_10060,2025-01-18,ios,twitter,55.69,PT
u_10039,2025-01-18,android,tiktok,26.58,NL
u_10114,2025-01-18,android,instagram,56.56,DE
u_10052,2025-01-18,ios,google_ads,79.15,FR
u_10084,2025-01-18,android,instagram,27.68,PL
u_10221,2025-01-18,android,google_ads,7.95,BE
u_10253,2025-01-18,android,twitter,46.35,DE
u_10254,2025-01-18,ios,google_ads,22.73,PL
u_10255,2025-01-18,android,facebook,32.43,IT
u_10256,2025-01-18,android,google_ads,30.5,FR
u_10257,2025-01-18,android,google_ads,43.66,IT
u_10258,2025-01-18,android,tiktok,55.26,BE
u_10259,2025-01-18,android,facebook,57.1,NL
u_10260,2025-01-18,ios,facebook,19.83,IE
u_10261,2025-01-18,android,facebook,67.59,IE
u_10262,2025-01-18,ios,facebook,44.2,PL
u_10263,2025-01-18,android,google_ads,20.9,FR
u_10264,2025-01-18,ios,facebook,22.2,DE
u_10265,2025-01-18,android,google_ads,49.4,IT
u_10266,2025-01-18,ios,google_ads,50.43,FR
u_10267,2025-01-18,android,tiktok,31.37,SE
u_10268,2025-01-18,ios,tiktok,19.02,ES
u_10269,2025-01-18,android,google_ads,36.96,NL
u_10137,2025-01-19,android,tiktok,48.91,IT
u_10117,2025-01-19,ios,instagram,36.3,SE
u_10166,2025-01-19,ios,instagram,22.25,DE
u_10201,2025-01-19,ios,facebook,45.28,NL
u_10082,2025-01-19,ios,google_ads,5.18,ES
u_10270,2025-01-19,ios,google_ads,42.82,ES
u_10271,2025-01-19,android,google_ads,68.28,DE
u_10272,2025-01-19,ios,instagram,31.61,NL
u_10273,2025-01-19,ios,google_ads,37.67,SE
u_10274,2025-01-19,android,instagram,50.94,PT
u_10275,2025-01-19,ios,facebook,30.39,NL
u_10276,2025-01-19,android,instagram,17.41,ES
u_10277,2025-01-19,ios,tiktok,31.99,BE
u_10278,2025-01-19,ios,tiktok,73.15,SE
u_10279,2025-01-19,ios,instagram,34.06,DE
u_10096,2025-01-20,android,tiktok,51.98,IT
u_10269,2025-01-20,android,google_ads,24.75,NL
u_10157,2025-01-20,ios,google_ads,10.04,FR
u_10102,2025-01-20,android,instagram,34.73,SE
u_10236,2025-01-20,android,instagram,50.01,DE
u_10217,2025-01-20,ios,instagram,67.03,IE
u_10224,2025-01-20,ios,google_ads,51.61,FR
u_10142,2025-01-20,android,instagram,52.18,DE
u_10280,2025-01-20,android,instagram,64.88,NL
u_10281,2025-01-20,android,google_ads,28.65,IE
u_10282,2025-01-20,ios,tiktok,44.64,IT
u_10283,2025-01-20,ios,instagram,59.31,ES
u_10284,2025-01-20,android,instagram,26.76,ES
u_10285,2025-01-20,ios,twitter,25.88,FR
u_10286,2025-01-20,android,instagram,30.86,DE
u_10287,2025-01-20,android,tiktok,32.88,FR
u_10288,2025-01-20,ios,instagram,43.39,ES
u_10289,2025-01-20,android,instagram,74.16,PL
u_10290,2025-01-20,ios,facebook,25.41,DE
u_10291,2025-01-20,android,instagram,6.99,IE
u_10292,2025-01-20,ios,facebook,20.0,ES
u_10293,2025-01-20,ios,google_ads,58.74,DE
u_10294,2025-01-20,ios,google_ads,39.72,PL
u_10295,2025-01-20,android,twitter,56.36,ES
u_10066,2025-01-21,android,instagram,59.08,ES
u_10199,2025-01-21,android,instagram,21.34,BE
u_10231,2025-01-21,android,twitter,42.66,PT
u_10043,2025-01-21,android,tiktok,25.69,ES
u_10145,2025-01-21,ios,google_ads,37.09,BE
u_10091,2025-01-21,android,google_ads,23.15,FR
u_10134,2025-01-21,ios,facebook,10.28,SE
u_10171,2025-01-21,android,google_ads,50.66,DE
u_10296,2025-01-21,android,google_ads,42.03,IT
u_10297,2025-01-21,ios,google_ads,45.95,PL
u_10298,2025-01-21,ios,google_ads,69.71,PT
u_10299,2025-01-21,ios,google_ads,53.77,PT
u_10300,2025-01-21,android,instagram,38.04,BE
u_10301,2025-01-21,ios,google_ads,28.7,BE
u_10302,2025-01-21,android,instagram,31.38,DE
u_10303,2025-01-21,android,tiktok,34.33,DE
u_10304,2025-01-21,android,twitter,40.82,DE
u_10305,2025-01-21,android,google_ads,57.38,FR
u_10306,2025-01-21,ios,google_ads,64.77,ES
u_10307,2025-01-21,android,instagram,39.83,IT
u_10308,2025-01-21,ios,twitter,34.32,SE
u_10309,2025-01-21,ios,facebook,41.84,ES
u_10310,2025-01-21,ios,instagram,18.82,NL
u_10311,2025-01-21,android,instagram,45.1,FR
u_10262,2025-01-22,ios,facebook,44.0,PL
u_10122,2025-01-22,ios,twitter,31.96,FR
u_10277,2025-01-22,ios,tiktok,32.49,BE
u_10140,2025-01-22,android,facebook,15.21,PL
u_10040,2025-01-22,android,facebook,38.74,ES
u_10101,2025-01-22,android,google_ads,29.76,IT
u_10312,2025-01-22,ios,google_ads,80.16,SE
u_10313,2025-01-22,android,instagram,55.88,PL
u_10314,2025-01-22,ios,instagram,77.01,BE
u_10315,2025-01-22,ios,instagram,30.22,DE
u_10316,2025-01-22,ios,facebook,44.81,PL
u_10317,2025-01-22,ios,twitter,44.06,FR
u_10318,2025-01-22,android,facebook,31.28,ES
u_10319,2025-01-22,android,facebook,52.16,SE
u_10320,2025-01-22,ios,twitter,18.57,DE
u_10321,2025-01-22,ios,google_ads,30.17,SE
u_10322,2025-01-22,ios,instagram,40.41,FR
u_10323,2025-01-22,ios,facebook,26.61,DE
u_10324,2025-01-22,ios,instagram,20.49,SE
u_10325,2025-01-22,ios,google_ads,67.12,NL
u_10110,2025-01-23,android,facebook,57.73,ES
u_10013,2025-01-23,ios,instagram,34.07,NL
u_10214,2025-01-23,android,google_ads,48.35,DE
u_10169,2025-01-23,android,tiktok,95.62,ES
u_10054,2025-01-23,ios,google_ads,35.48,DE
u_10280,2025-01-23,android,instagram,72.5,NL
u_10326,2025-01-23,android,google_ads,36.21,PT
u_10327,2025-01-23,ios,google_ads,30.26,FR
u_10328,2025-01-23,android,google_ads,29.54,DE
u_10329,2025-01-23,android,twitter,45.78,PL
u_10330,2025-01-23,android,google_ads,57.65,IT
u_10331,2025-01-23,android,google_ads,50.34,FR
u_10332,2025-01-23,ios,google_ads,53.42,IT
u_10333,2025-01-23,android,facebook,14.42,IT
u_10334,2025-01-23,android,google_ads,37.57,IT
u_10335,2025-01-23,android,tiktok,77.45,SE
u_10336,2025-01-23,android,tiktok,53.6,PT
u_10337,2025-01-23,android,tiktok,67.38,DE
u_10210,2025-01-24,ios,google_ads,79.78,SE
u_10330,2025-01-24,android,google_ads,44.49,IT
u_10157,2025-01-24,ios,google_ads,12.43,FR
u_10075,2025-01-24,ios,google_ads,62.26,DE
u_10189,2025-01-24,android,facebook,16.17,FR
u_10084,2025-01-24,android,instagram,29.78,PL
u_10200,2025-01-24,android,twitter,37.55,BE
u_10338,2025-01-24,android,google_ads,114.97,PL
u_10339,2025-01-24,android,facebook,55.69,PL
u_10340,2025-01-24,android,instagram,17.97,PT
u_10341,2025-01-24,ios,twitter,26.91,ES
u_10342,2025-01-24,ios,facebook,46.25,ES
u_10343,2025-01-24,android,google_ads,44.73,IE
u_10344,2025-01-24,ios,instagram,79.33,PL
u_10345,2025-01-24,ios,facebook,38.35,BE
u_10346,2025-01-24,ios,instagram,35.03,IE
u_10347,2025-01-24,android,facebook,35.85,ES
u_10348,2025-01-24,android,google_ads,55.26,DE
u_10349,2025-01-24,android,tiktok,61.41,IE
u_10350,2025-01-24,android,google_ads,37.0,FR
u_10351,2025-01-24,android,google_ads,33.43,DE
u_10352,2025-01-24,android,facebook,56.81,PL
u_10353,2025-01-24,ios,facebook,34.75,SE
u_10236,2025-01-25,android,instagram,29.19,DE
u_10316,2025-01-25,ios,facebook,24.23,PL
u_10169,2025-01-25,android,tiktok,56.11,ES
u_10023,2025-01-25,android,google_ads,48.05,IT
u_10251,2025-01-25,ios,twitter,23.86,IT
u_10144,2025-01-25,android,facebook,23.83,IT
u_10354,2025-01-25,ios,google_ads,32.84,PL
u_10355,2025-01-25,ios,google_ads,42.61,FR
u_10356,2025-01-25,android,instagram,22.49,PL
u_10357,2025-01-25,ios,google_ads,78.76,ES
u_10358,2025-01-25,android,google_ads,60.12,IT
u_10359,2025-01-25,android,tiktok,34.1,ES
u_10360,2025-01-25,ios,google_ads,34.2,DE
u_10361,2025-01-25,android,google_ads,61.2,PL
u_10362,2025-01-25,ios,instagram,45.51,DE
u_10363,2025-01-25,ios,facebook,51.37,PL
u_10364,2025-01-25,ios,instagram,47.81,NL
u_10365,2025-01-25,android,google_ads,19.66,DE
u_10112,2025-01-26,android,google_ads,20.34,PT
u_10171,2025-01-26,android,google_ads,82.56,DE
u_10354,2025-01-26,ios,google_ads,24.54,PL
u_10222,2025-01-26,ios,instagram,24.91,PL
