date_day,ad_source,campaign_name,country,platform,spend_usd,impressions,clicks,installs,conversions
2025-01-06,google,google_display_retargeting,CY,android,149.88,"11,394",786,75,10
2025-09-13,facebook,fb_app_install,HR,ios,57.2,"3,085",71,24,5
2025-04-24,affiliate,aff_spring,ES,android,18,"4,947",50,5,1
2025-06-25,twitter,x_app_installs,HU,android,259.11,"15,517",395,75,15
2025-11-09,twitter,x_retargeting,LT,android,96.94,"11,228",282,57,6
2025-10-15,twitter,x_app_installs,PT,ios,224.07,"14,087",137,30,6
2025-06-29,affiliate,aff_summer,SI,android,66.47,"7,016",105,16,1
2025-09-19,facebook,fb_conversion_2025,IE,ios,123.4,"13,834",264,74,6
2025-04-16,tiktok,tt_app_installs,SK,android,45.51,"8,341",367,57,4
2025-05-09,twitter,x_web_conversions,LT,ios,40.01,"6,967",116,11,1
2025-09-29,affiliate,aff_summer,SE,ios,114.77,"10,345",133,11,1
2025-10-12,instagram,ig_reels_push,SI,ios,142.37,"17,089",227,37,10
2025-08-06,twitter,x_app_installs,NL,android,110.09,"6,754",146,10,2
2025-09-07,tiktok,tt_app_installs,HR,android,73.13,"13,876",678,166,12
2025-06-09,google,google_display_retargeting,BE,ios,58.57,"3,179",136,26,8
2025-06-17,twitter,x_app_installs,BG,android,53.38,"14,892",187,18,2
2025-12-03,facebook,fb_retargeting,CY,android,272.25,"12,765",383,71,6
2025-03-16,twitter,x_web_conversions,FI,android,65.85,"7,041",113,24,3
2025-07-11,instagram,ig_retargeting,RO,android,184.91,"8,677",323,54,14
2025-07-02,tiktok,tt_spark_ads,IT,android,119.47,"9,234",205,38,6
2025-12-08,facebook,fb_retargeting,EE,ios,210.99,"7,843",254,36,5
2025-02-21,google,google_search_brand,MT,ios,289.33,"12,607",305,30,6
2025-02-22,twitter,x_web_conversions,AT,ios,104.97,"7,468",219,48,2
2025-08-23,affiliate,aff_winter,EE,ios,118.05,"9,787",181,29,5
2025-05-21,facebook,fb_conversion_2025,BG,ios,167.62,"7,019",243,50,7
2025-11-23,google,google_youtube_video,DK,ios,224.17,"9,714",377,36,9
2025-12-12,affiliate,aff_autumn,EE,android,29.62,"8,684",120,7,0
2025-01-01,tiktok,tt_conversion_2025,HR,ios,105.07,"5,351",286,52,5
2025-02-13,affiliate,aff_autumn,GR,android,74.82,"9,039",50,6,1
2025-11-01,tiktok,tt_creator_push,SK,ios,229.21,"13,274",728,184,22
2025-01-12,affiliate,aff_winter,BE,android,54.63,"8,203",91,7,1
2025-01-28,affiliate,aff_summer,ES,ios,35.27,"6,584",62,7,0
2025-07-31,instagram,ig_retargeting,DK,android,94.17,"5,654",219,64,14
2025-11-08,instagram,ig_story_launch,CZ,android,221.59,"10,862",126,13,2
2025-08-27,tiktok,tt_conversion_2025,BG,android,40.89,"3,566",172,49,7
2025-11-07,twitter,x_app_installs,BE,ios,180.31,"15,310",288,52,11
2025-06-14,facebook,fb_retargeting,CZ,android,78.21,"7,091",81,27,5
2025-10-15,tiktok,tt_creator_push,DK,android,205.39,"11,473",194,48,7
2025-09-25,facebook,fb_retargeting,HU,ios,446.72,"19,755",373,56,3
2025-03-07,tiktok,tt_spark_ads,ES,android,259.36,"17,742",317,33,4
2025-12-01,google,google_youtube_video,RO,android,216.83,"9,795",417,109,15
2025-05-13,instagram,ig_retargeting,FR,ios,97.14,"7,078",300,60,7
2025-02-22,facebook,fb_app_install,SK,android,130.94,"14,017",141,21,2
2025-01-08,facebook,fb_app_install,MT,android,86.72,"4,192",73,24,4
2025-03-02,twitter,x_web_conversions,BE,ios,126.04,"11,441",164,11,2
2025-12-12,instagram,ig_app_install,NL,ios,137.75,"6,823",188,45,3
2025-08-02,affiliate,aff_spring,HU,ios,43.43,"4,737",19,3,0
2025-07-26,twitter,x_web_conversions,MT,ios,88.71,"8,926",157,25,3
2025-06-03,twitter,x_app_installs,IE,android,113.51,"12,672",85,17,2
2025-04-29,google,google_display_retargeting,PT,android,120.94,"10,766",389,48,7
2025-07-31,instagram,ig_reels_push,HU,ios,261.66,"13,654",178,37,7
2025-08-24,affiliate,aff_summer,IT,android,57.31,"11,620",129,22,3
2025-12-31,facebook,fb_app_install,IT,ios,43.42,"4,297",52,9,1
2025-04-05,facebook,fb_retargeting,LT,android,309.01,"11,191",114,27,4
2025-01-06,instagram,ig_reels_push,BG,ios,253.81,"12,323",544,108,23
2025-12-01,google,google_pmax_2025,CZ,android,254.25,"9,349",579,70,22
2025-08-13,twitter,x_awareness,NL,ios,72.15,"7,062",91,14,1
2025-06-10,affiliate,aff_summer,PT,ios,77.6,"7,597",118,14,1
2025-11-17,instagram,ig_reels_push,HR,ios,315.62,"13,928",369,67,9
2025-08-24,affiliate,aff_spring,FI,android,31.43,"12,195",146,25,3
2025-11-24,twitter,x_web_conversions,RO,android,71.63,"6,604",66,13,2
2025-03-30,instagram,ig_reels_push,LT,android,249.88,"11,310",383,73,16
2025-12-19,google,google_search_brand,BG,android,274.17,"19,330",765,143,11
2025-07-17,google,google_search_brand,AT,android,122.61,"3,865",218,48,5
2025-08-19,instagram,ig_reels_push,CZ,android,110.21,"6,963",130,32,2
2025-01-05,twitter,x_retargeting,LU,ios,103.11,"10,463",89,13,1
2025-07-03,facebook,fb_app_install,RO,ios,151.23,"7,111",196,56,12
2025-01-11,twitter,x_app_installs,SE,android,126.46,"10,345",119,15,1
2025-05-21,twitter,x_web_conversions,IE,ios,302.65,"22,502",606,127,18
2025-10-20,facebook,fb_conversion_2025,GR,ios,71.49,"9,283",268,55,4
2025-10-24,google,google_display_retargeting,PT,ios,169.65,"5,388",334,35,10
2025-05-29,affiliate,aff_winter,GR,android,57.67,"8,269",170,22,1
2025-07-29,twitter,x_web_conversions,EE,ios,51.63,"9,416",263,26,4
2025-12-10,instagram,ig_story_launch,AT,ios,215.05,"12,214",370,84,4
2025-03-25,affiliate,aff_summer,ES,android,94.3,"13,933",110,10,1
2025-07-30,affiliate,aff_spring,FI,ios,85.76,"9,477",162,16,2
2025-03-19,affiliate,aff_winter,HU,ios,134.58,"22,384",323,48,2
2025-12-25,tiktok,tt_conversion_2025,DK,android,84.71,"19,007",449,109,14
2025-06-27,google,google_pmax_2025,SE,ios,90.92,"8,410",265,57,4
2025-08-17,instagram,ig_app_install,PT,ios,211.19,"8,879",262,64,15
2025-04-30,tiktok,tt_spark_ads,FI,ios,31.34,"7,403",154,25,6
2025-05-31,google,google_pmax_2025,PL,android,456.4,"14,217",413,81,14
2025-01-11,affiliate,aff_summer,AT,ios,44.87,"7,062",151,14,2
2025-12-21,google,google_display_retargeting,MT,android,286.58,"13,832",356,69,22
2025-07-28,facebook,fb_app_install,NL,android,358.45,"20,407",240,75,22
2025-04-08,google,google_pmax_2025,IE,ios,180.31,"11,709",769,80,17
2025-06-14,tiktok,tt_conversion_2025,FI,ios,310.91,"18,098",326,52,5
2025-11-05,affiliate,aff_autumn,AT,ios,54.2,"8,677",108,16,1
2025-12-29,google,google_youtube_video,BG,android,257.14,"9,357",579,97,29
2025-02-24,twitter,x_awareness,PT,ios,87.73,"7,905",73,10,1
2025-09-01,affiliate,aff_summer,LT,android,53.66,"7,434",143,16,2
2025-10-18,affiliate,aff_autumn,DE,android,31.59,"9,758",40,7,0
2025-11-01,affiliate,aff_summer,LU,ios,98.88,"8,467",130,21,3
2025-07-17,instagram,ig_story_launch,PT,android,262.91,"11,462",311,45,12
2025-09-23,affiliate,aff_spring,NL,android,169.68,"12,428",232,21,4
2025-08-11,tiktok,tt_app_installs,FR,android,137.05,"9,302",239,67,3
2025-07-07,instagram,ig_story_launch,ES,android,147.5,"9,672",342,39,5
2025-07-29,tiktok,tt_creator_push,IT,ios,137.49,"6,993",269,41,2
2025-09-26,twitter,x_retargeting,ES,ios,41.2,"11,559",72,5,0
2025-07-04,affiliate,aff_winter,FR,android,57.11,"8,094",200,30,3
2025-03-06,facebook,fb_retargeting,PT,android,105.56,"8,724",271,77,15
2025-11-01,instagram,ig_retargeting,CY,ios,55.17,"8,236",145,42,10
2025-10-22,facebook,fb_retargeting,LV,ios,144.82,"9,762",339,99,7
2025-11-06,tiktok,tt_creator_push,PL,ios,60.53,"12,986",223,25,3
2025-09-19,affiliate,aff_autumn,LV,android,73.55,"15,697",114,18,1
2025-03-30,instagram,ig_retargeting,PL,ios,68.07,"6,683",268,51,7
2025-07-14,facebook,fb_brand_awareness,EE,ios,232.87,"10,930",170,30,2
2025-03-31,affiliate,aff_autumn,BE,ios,63.42,"7,986",147,9,1
2025-04-25,facebook,fb_brand_awareness,CY,android,463.04,"18,448",578,167,30
2025-12-19,affiliate,aff_summer,SI,android,126.39,"12,438",235,37,5
2025-06-04,twitter,x_retargeting,SE,android,146.2,"9,556",164,33,1
2025-06-07,instagram,ig_story_launch,IT,android,41.71,"8,144",315,84,14
2025-01-13,instagram,ig_reels_push,SI,android,86.42,"11,615",269,27,6
2025-03-15,affiliate,aff_spring,FI,android,10.3,"3,189",36,5,1
2025-12-18,facebook,fb_conversion_2025,EE,android,158.07,"8,040",79,20,3
2025-09-27,google,google_pmax_2025,LU,ios,70.84,"7,249",380,76,12
2025-05-14,instagram,ig_retargeting,EE,android,216.92,"16,562",424,66,18
2025-02-08,affiliate,aff_spring,RO,ios,86.42,"8,501",158,12,1
2025-01-27,facebook,fb_brand_awareness,IE,android,320.79,"11,603",293,62,7
2025-02-27,twitter,x_retargeting,IE,ios,114.9,"8,372",200,18,4
2025-09-28,instagram,ig_story_launch,HU,ios,229.96,"10,924",441,113,26
2025-07-18,twitter,x_retargeting,LV,ios,49.98,"8,645",113,23,5
2025-06-02,google,google_pmax_2025,SI,android,71.05,"4,229",132,15,3
2025-03-13,tiktok,tt_conversion_2025,LV,ios,126.7,"11,394",210,42,8
2025-06-15,google,google_youtube_video,LV,ios,173.43,"14,525",950,214,55
2025-02-15,tiktok,tt_spark_ads,PT,android,216.45,"12,049",395,58,7
2025-12-19,affiliate,aff_spring,SE,android,185.12,"13,483",287,28,2
2025-05-02,instagram,ig_app_install,HU,ios,67.18,"9,128",104,24,6
2025-01-09,facebook,fb_brand_awareness,CY,android,372.32,"16,024",533,180,37
2025-09-08,instagram,ig_app_install,FI,android,230.58,"16,310",479,105,24
2025-10-24,google,google_display_retargeting,IT,android,292.13,"17,303",909,160,35
2025-06-22,google,google_youtube_video,FI,android,60.42,"7,056",294,26,3
2025-05-30,google,google_search_brand,LV,ios,102.47,"5,001",118,10,1
2025-08-01,affiliate,aff_winter,GR,ios,125.55,"11,197",244,32,4
2025-02-19,affiliate,aff_winter,SI,ios,272.01,"23,621",291,37,4
2025-08-31,facebook,fb_retargeting,DK,ios,256.12,"10,500",186,39,6
2025-12-21,twitter,x_web_conversions,EE,ios,171.93,"10,871",127,27,2
2025-11-14,tiktok,tt_app_installs,MT,ios,56.21,"9,836",369,84,15
2025-01-28,tiktok,tt_spark_ads,SI,android,209.21,"17,498",388,59,13
2025-04-03,instagram,ig_app_install,SI,ios,377.44,"16,394",248,47,9
2025-10-11,google,google_search_brand,MT,ios,117.03,"3,735",221,49,9
2025-04-18,google,google_youtube_video,HU,ios,131.15,"14,472",331,62,19
2025-02-04,facebook,fb_retargeting,HR,android,60.89,"9,540",179,41,9
2025-11-02,affiliate,aff_winter,ES,ios,56.67,"5,666",77,9,1
2025-05-31,google,google_youtube_video,PT,android,129.23,"9,016",265,60,6
2025-11-07,facebook,fb_conversion_2025,AT,android,232.25,"9,247",245,57,12
2025-11-24,tiktok,tt_app_installs,IE,android,82.41,"13,924",562,105,19
2025-07-11,affiliate,aff_autumn,RO,ios,126.51,"14,369",180,29,4
2025-11-20,tiktok,tt_conversion_2025,SK,android,42.96,"3,628",170,46,10
2025-12-10,twitter,x_retargeting,IT,android,63.56,"5,550",77,12,2
2025-11-12,affiliate,aff_summer,DE,ios,39.34,"3,927",34,2,0
2025-09-22,facebook,fb_conversion_2025,IT,ios,181.88,"7,609",256,81,23
2025-01-12,tiktok,tt_creator_push,DE,ios,268.18,"15,844",604,162,34
2025-01-21,tiktok,tt_spark_ads,CZ,android,52.55,"3,329",168,19,5
2025-09-28,instagram,ig_reels_push,ES,android,87.04,"8,031",217,33,4
2025-06-05,google,google_pmax_2025,NL,android,383.04,"11,144",273,61,10
2025-09-20,twitter,x_app_installs,LT,ios,169.89,"10,133",133,25,2
2025-09-20,facebook,fb_retargeting,SK,android,200.49,"10,423",96,25,7
2025-10-04,tiktok,tt_conversion_2025,RO,android,157.96,"11,267",310,93,19
2025-03-09,affiliate,aff_autumn,IT,ios,159.31,"14,224",311,43,7
2025-08-30,facebook,fb_conversion_2025,EE,android,221.58,"11,011",153,22,1
2025-06-09,affiliate,aff_spring,FR,android,85.24,"6,153",75,10,1
2025-03-26,tiktok,tt_spark_ads,IE,android,24.71,"4,206",176,56,4
2025-04-12,google,google_youtube_video,FI,android,75.8,"3,147",185,25,6
2025-05-16,google,google_display_retargeting,HR,ios,91.96,"6,426",295,28,8
2025-09-21,google,google_search_brand,SK,ios,44.65,"4,743",150,26,3
2025-04-12,instagram,ig_retargeting,SK,android,148.65,"8,711",264,31,8
2025-11-07,google,google_pmax_2025,HR,ios,239.23,"9,218",392,91,14
2025-01-03,google,google_display_retargeting,GR,ios,81.8,"5,611",118,27,7
2025-05-29,google,google_search_brand,RO,ios,232.92,"7,686",188,43,4
2025-08-14,google,google_search_brand,BE,android,166.59,"7,655",299,45,5
2025-07-09,affiliate,aff_spring,PL,android,100.65,"7,238",107,18,2
2025-09-01,facebook,fb_app_install,MT,android,45.65,"2,087",52,14,3
2025-12-02,tiktok,tt_creator_push,IT,android,146.47,"8,872",137,26,2
2025-10-03,instagram,ig_app_install,FI,android,228.26,"13,818",555,158,26
2025-08-26,facebook,fb_app_install,HU,android,80.87,"10,783",202,31,4
2025-01-25,facebook,fb_app_install,CY,ios,140.8,"8,986",177,34,6
2025-06-09,twitter,x_awareness,BG,ios,126.55,"11,036",226,27,3
2025-09-23,facebook,fb_brand_awareness,NL,ios,118.65,"9,363",135,21,2
2025-09-20,twitter,x_retargeting,IT,android,48.59,"7,488",156,25,2
2025-11-04,google,google_youtube_video,FR,ios,230.13,"13,102",781,126,29
2025-01-14,twitter,x_app_installs,SI,ios,156.85,"10,559",126,10,1
2025-11-10,affiliate,aff_spring,FI,ios,84.09,"13,023",106,6,0
2025-07-07,instagram,ig_retargeting,CZ,ios,54.49,"6,941",275,33,5
2025-09-09,instagram,ig_app_install,IE,android,56.21,"2,428",63,16,4
2025-04-30,affiliate,aff_autumn,FR,ios,35.81,"7,109",40,3,1
2025-10-04,instagram,ig_reels_push,RO,android,232.24,"15,639",505,113,7
2025-03-28,affiliate,aff_autumn,BG,ios,168.81,"14,521",70,10,1
2025-06-01,google,google_display_retargeting,IE,ios,56.2,"4,425",260,55,6
2025-09-18,twitter,x_web_conversions,PL,ios,58.32,"5,440",42,5,0
2025-08-11,google,google_display_retargeting,BG,ios,329.57,"11,398",345,36,8
2025-08-05,instagram,ig_reels_push,NL,android,355.85,"15,066",661,172,20
2025-09-26,tiktok,tt_app_installs,IT,android,97.06,"12,067",211,37,9
2025-11-11,affiliate,aff_autumn,FI,android,114.61,"11,334",84,7,1
2025-06-23,tiktok,tt_app_installs,NL,ios,37.94,"4,442",218,62,14
2025-05-29,tiktok,tt_spark_ads,NL,android,92.86,"12,908",559,151,27
2025-05-30,facebook,fb_app_install,EE,ios,271.84,"9,982",109,30,2
2025-03-29,affiliate,aff_summer,MT,ios,19.81,"3,556",55,7,1
2025-01-23,instagram,ig_story_launch,LT,android,192.41,"9,421",237,31,6
2025-09-18,google,google_display_retargeting,MT,android,78.08,"5,780",144,23,6
2025-10-29,affiliate,aff_autumn,BG,android,198.53,"16,435",252,30,5
2025-07-28,google,google_youtube_video,DE,android,401.81,"13,074",757,163,42
2025-11-08,affiliate,aff_winter,CZ,android,181.72,"17,562",289,29,3
2025-07-21,tiktok,tt_creator_push,FR,android,143.41,"7,266",144,27,3
2025-01-14,twitter,x_app_installs,IT,ios,139.76,"9,271",180,28,5
2025-07-07,google,google_pmax_2025,DE,ios,177.34,"6,302",327,36,9
2025-04-27,tiktok,tt_app_installs,PT,android,97.1,"9,087",157,41,4
2025-09-08,tiktok,tt_app_installs,DK,android,108.49,"9,535",375,102,7
2025-05-04,twitter,x_retargeting,PL,android,199.15,"11,255",324,30,4
2025-04-17,facebook,fb_retargeting,FI,ios,428.62,"17,311",573,172,11
2025-03-10,google,google_youtube_video,RO,android,466.29,"17,230",759,127,39
2025-09-17,facebook,fb_app_install,PL,ios,53.86,"7,715",160,20,2
2025-08-08,affiliate,aff_spring,FR,ios,38.31,"5,360",110,19,2
2025-07-24,twitter,x_retargeting,BG,ios,95.31,"8,675",65,13,1
2025-01-07,facebook,fb_brand_awareness,HR,ios,112.05,"6,115",53,14,4
2025-06-03,tiktok,tt_spark_ads,LT,android,180.93,"12,763",294,72,6
2025-12-11,tiktok,tt_creator_push,LV,ios,45.06,"5,593",151,19,1
2025-11-23,tiktok,tt_conversion_2025,HU,ios,225.22,"13,453",659,171,9
2025-04-08,twitter,x_web_conversions,BG,android,314.95,"24,161",241,51,10
2025-05-24,tiktok,tt_spark_ads,ES,android,366.7,"16,973",778,97,11
2025-11-15,facebook,fb_conversion_2025,SK,android,175.84,"7,764",116,18,2
2025-05-23,twitter,x_retargeting,CY,android,146.29,"10,258",124,26,4
2025-03-07,twitter,x_retargeting,GR,android,87.43,"5,838",83,9,1
2025-10-06,twitter,x_retargeting,IT,android,49.35,"5,910",63,6,0
2025-06-13,instagram,ig_retargeting,MT,android,120.55,"7,969",302,54,14
2025-09-25,instagram,ig_story_launch,BE,android,110.52,"12,505",246,73,6
2025-01-08,affiliate,aff_autumn,RO,android,97.58,"7,168",152,14,2
2025-02-01,tiktok,tt_conversion_2025,LV,ios,136.6,"8,856",265,84,15
2025-04-12,instagram,ig_reels_push,HR,android,86.98,"15,649",228,54,4
2025-05-13,facebook,fb_brand_awareness,AT,ios,166.49,"10,173",230,65,8
2025-12-30,tiktok,tt_conversion_2025,BG,android,102.79,"7,638",175,49,11
2025-10-04,google,google_pmax_2025,NL,android,165.95,"6,701",285,65,15
2025-09-30,affiliate,aff_winter,DE,android,73.1,"7,228",178,24,1
2025-09-05,google,google_youtube_video,LU,ios,95.94,"5,581",388,37,3
2025-10-30,twitter,x_app_installs,EE,android,157.07,"10,916",83,15,2
2025-02-08,instagram,ig_app_install,IE,ios,81.96,"11,529",481,113,20
2025-02-15,affiliate,aff_winter,IT,ios,162.17,"13,946",168,11,1
2025-03-25,affiliate,aff_summer,AT,ios,86.32,"7,246",48,7,1
2025-07-20,google,google_search_brand,FR,android,258.19,"8,495",579,130,18
2025-04-30,google,google_youtube_video,CY,ios,82.96,"8,292",401,55,15
2025-11-30,twitter,x_retargeting,MT,ios,94.23,"7,920",219,43,7
2025-05-07,instagram,ig_retargeting,BG,android,232.94,"14,656",367,56,13
2025-11-21,twitter,x_web_conversions,LV,ios,153.51,"9,223",188,15,1
2025-02-04,instagram,ig_story_launch,PL,android,67.58,"5,021",79,11,3
2025-06-06,tiktok,tt_spark_ads,PT,ios,178.88,"8,330",147,22,5
2025-07-13,tiktok,tt_spark_ads,PT,ios,111.72,"8,934",134,21,2
2025-05-16,facebook,fb_brand_awareness,GR,android,179.06,"17,361",594,117,20
2025-08-25,affiliate,aff_autumn,RO,android,48.35,"7,971",69,4,0
2025-09-02,tiktok,tt_spark_ads,DK,android,80.16,"8,787",122,20,4
2025-10-04,tiktok,tt_app_installs,EE,android,198.13,"9,558",392,43,6
2025-01-01,twitter,x_awareness,MT,android,161.43,"13,321",211,43,7
2025-10-28,affiliate,aff_summer,AT,android,60.09,"9,347",60,6,1
2025-03-25,google,google_search_brand,MT,ios,170.32,"6,538",157,24,7
2025-07-21,twitter,x_retargeting,SE,android,116.06,"8,374",234,37,7
2025-04-27,instagram,ig_reels_push,EE,ios,160.82,"8,835",345,103,25
2025-11-17,twitter,x_awareness,PT,ios,86.37,"6,756",131,15,3
2025-04-17,affiliate,aff_winter,PL,ios,82.96,"9,133",51,6,1
2025-10-15,google,google_youtube_video,BE,android,141.1,"16,144",1041,86,13
2025-06-16,affiliate,aff_spring,BG,android,65.83,"10,703",140,10,2
2025-10-02,google,google_youtube_video,CZ,ios,25.22,"2,350",92,22,5
2025-11-21,instagram,ig_reels_push,LT,android,183.59,"10,156",179,53,8
2025-11-21,instagram,ig_reels_push,SE,android,108.64,"8,781",206,22,1
2025-11-02,google,google_pmax_2025,ES,ios,77.98,"7,003",301,41,12
2025-05-04,tiktok,tt_app_installs,CY,ios,21.65,"4,751",75,18,1
2025-10-05,affiliate,aff_autumn,ES,android,54.5,"8,687",65,5,1
2025-04-19,facebook,fb_brand_awareness,AT,android,253.26,"10,433",226,62,7
2025-04-02,twitter,x_app_installs,IT,android,101.92,"6,846",162,18,2
2025-06-14,affiliate,aff_summer,MT,android,151.95,"11,199",157,19,1
2025-12-20,affiliate,aff_summer,HR,ios,67.16,"6,604",130,16,1
2025-02-15,tiktok,tt_app_installs,NL,android,113.48,"8,834",393,82,8
2025-08-04,twitter,x_web_conversions,PL,ios,185.73,"11,620",212,29,4
2025-03-23,affiliate,aff_autumn,RO,android,134.67,"10,996",265,20,1
2025-12-03,affiliate,aff_autumn,HR,ios,94.08,"11,579",62,10,1
2025-07-08,facebook,fb_app_install,FR,android,254.27,"12,767",113,36,7
2025-07-23,facebook,fb_app_install,EE,ios,341.34,"12,282",341,82,20
2025-10-09,tiktok,tt_creator_push,GR,android,155.56,"8,277",124,13,3
2025-05-07,twitter,x_web_conversions,IE,ios,30.9,"7,419",154,11,1
2025-09-17,tiktok,tt_creator_push,FI,ios,394.57,"20,089",844,86,5
2025-05-25,affiliate,aff_summer,DK,android,83.78,"12,259",231,13,1
2025-10-17,tiktok,tt_conversion_2025,GR,ios,73.48,"3,835",90,9,1
2025-06-07,affiliate,aff_summer,LU,android,77.03,"6,083",70,9,0
2025-02-01,facebook,fb_brand_awareness,FI,ios,167.5,"15,006",378,91,15
2025-12-01,facebook,fb_brand_awareness,BG,ios,119.25,"8,040",90,30,7
2025-10-17,affiliate,aff_winter,BE,android,17.52,"6,839",73,4,0
2025-08-02,instagram,ig_retargeting,ES,ios,214.48,"9,379",285,55,7
2025-06-06,facebook,fb_retargeting,MT,ios,197.8,"7,720",237,46,11
2025-03-24,instagram,ig_reels_push,SI,ios,34.94,"6,021",258,61,5
2025-11-12,twitter,x_app_installs,FI,ios,28.78,"5,822",157,14,1
2025-04-04,instagram,ig_reels_push,ES,ios,124.25,"10,493",392,90,5
2025-12-25,facebook,fb_app_install,CY,ios,210.95,"8,473",213,63,3
2025-07-29,google,google_display_retargeting,MT,android,386.94,"13,957",781,120,34
2025-04-10,facebook,fb_retargeting,FI,ios,246.05,"11,712",327,113,7
2025-03-06,instagram,ig_story_launch,LT,ios,161.31,"8,123",93,22,5
2025-02-13,affiliate,aff_winter,LV,android,12.18,"5,126",111,16,3
2025-01-17,google,google_search_brand,IT,ios,270.31,"12,279",252,44,14
2025-12-06,twitter,x_app_installs,SK,android,173.44,"11,918",351,28,1
2025-05-14,tiktok,tt_app_installs,BE,android,122.49,"11,932",294,79,12
2025-01-12,tiktok,tt_creator_push,PT,ios,351.49,"18,562",925,230,36
2025-08-05,tiktok,tt_creator_push,BG,ios,103.53,"12,268",307,35,3
2025-07-24,google,google_display_retargeting,BG,ios,242.02,"9,463",658,84,17
2025-01-28,google,google_pmax_2025,HU,android,176.51,"7,116",223,27,3
2025-10-28,tiktok,tt_creator_push,HR,ios,103.34,"10,118",290,72,7
2025-04-12,affiliate,aff_spring,IE,android,75.79,"7,372",113,7,1
2025-01-05,instagram,ig_story_launch,DE,android,84.81,"5,844",254,52,5
2025-10-21,tiktok,tt_creator_push,SK,ios,95.57,"19,952",634,140,18
2025-01-06,google,google_youtube_video,DE,android,243.73,"13,118",352,98,19
2025-09-29,google,google_display_retargeting,PT,android,200.65,"8,583",599,133,42
2025-12-23,facebook,fb_app_install,SE,ios,86.14,"5,883",110,37,11
2025-01-08,facebook,fb_brand_awareness,HR,android,144.64,"15,099",222,59,13
2025-04-03,instagram,ig_app_install,MT,android,82.83,"14,098",327,69,16
2025-09-09,affiliate,aff_winter,IE,android,79.43,"10,222",61,6,0
2025-06-22,affiliate,aff_autumn,SK,ios,84.18,"31,265",542,33,1
2025-12-12,google,google_pmax_2025,GR,ios,106.49,"4,139",135,26,4
2025-09-14,twitter,x_web_conversions,CY,android,56.25,"5,939",57,10,1
2025-05-19,instagram,ig_app_install,GR,android,141.3,"12,069",339,85,10
2025-11-23,facebook,fb_conversion_2025,MT,ios,152.61,"8,030",168,39,4
2025-05-27,tiktok,tt_app_installs,NL,android,271.16,"12,953",271,31,2
2025-07-14,facebook,fb_retargeting,FI,android,99.05,"10,611",284,84,18
2025-06-30,google,google_pmax_2025,AT,ios,83.72,"10,465",229,24,6
2025-07-07,instagram,ig_story_launch,BG,ios,334.96,"15,385",263,27,4
2025-11-28,affiliate,aff_winter,BG,ios,54.18,"5,816",102,11,2
2025-07-09,tiktok,tt_creator_push,IT,android,274.98,"12,656",354,106,22
2025-01-22,instagram,ig_reels_push,FR,android,217.75,"11,269",172,30,4
2025-06-11,twitter,x_app_installs,BE,ios,60.44,"12,213",179,38,6
2025-04-12,instagram,ig_app_install,PT,ios,89.21,"4,305",120,21,6
2025-09-28,google,google_youtube_video,PT,android,186.98,"7,203",163,18,2
