date,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost_micros,conversions,view_through_conversions,_fivetran_synced,_fivetran_deleted
2024-01-25,111004,Remarketing - Display,ag_111004a,All Visitors,4850,341,528120562,16.67,15,2024-01-25T06:00:00Z,false
2024-01-26,111001,Brand - Search,ag_111001a,Brand Keywords,11068,380,755309280,17.36,7,2024-01-26T06:00:00Z,false
2024-01-26,111002,Competitor - Search,ag_111002a,Competitor Terms,5251,210,674346214,2.95,4,2024-01-26T06:00:00Z,false
2024-01-26,111003,Product - Search,ag_111003a,Product Keywords,4588,197,238877121,4.08,13,2024-01-26T06:00:00Z,false
2024-01-26,111004,Remarketing - Display,ag_111004a,All Visitors,7478,298,613282694,3.91,13,2024-01-26T06:00:00Z,false
2024-01-27,111001,Brand - Search,ag_111001a,Brand Keywords,7181,533,1266948684,23.87,18,2024-01-27T06:00:00Z,false
2024-01-27,111002,Competitor - Search,ag_111002a,Competitor Terms,7032,341,1140782243,8.5,12,2024-01-27T06:00:00Z,false
2024-01-27,111003,Product - Search,ag_111003a,Product Keywords,7665,400,1113404785,20.0,7,2024-01-27T06:00:00Z,false
2024-01-27,111004,Remarketing - Display,ag_111004a,All Visitors,8799,291,575236326,3.33,10,2024-01-27T06:00:00Z,false
2024-01-28,111001,Brand - Search,ag_111001a,Brand Keywords,11758,714,1350641674,13.03,14,2024-01-28T06:00:00Z,false
2024-01-28,111002,Competitor - Search,ag_111002a,Competitor Terms,2891,227,508964372,12.56,18,2024-01-28T06:00:00Z,false
2024-01-28,111003,Product - Search,ag_111003a,Product Keywords,10046,600,615994888,18.86,14,2024-01-28T06:00:00Z,false
2024-01-28,111004,Remarketing - Display,ag_111004a,All Visitors,3777,86,156827917,1.77,10,2024-01-28T06:00:00Z,false
2024-01-29,111001,Brand - Search,ag_111001a,Brand Keywords,6329,415,756810924,19.75,13,2024-01-29T06:00:00Z,false
2024-01-29,111002,Competitor - Search,ag_111002a,Competitor Terms,4933,345,714090817,16.37,1,2024-01-29T06:00:00Z,false
2024-01-29,111003,Product - Search,ag_111003a,Product Keywords,6533,218,214788772,12.61,1,2024-01-29T06:00:00Z,false
2024-01-29,111004,Remarketing - Display,ag_111004a,All Visitors,1308,100,133827384,1.1,4,2024-01-29T06:00:00Z,false
2024-01-30,111001,Brand - Search,ag_111001a,Brand Keywords,4708,129,336372515,4.93,6,2024-01-30T06:00:00Z,false
2024-01-30,111002,Competitor - Search,ag_111002a,Competitor Terms,8419,521,1495595554,9.58,19,2024-01-30T06:00:00Z,false
2024-01-30,111003,Product - Search,ag_111003a,Product Keywords,2676,178,221105848,4.55,18,2024-01-30T06:00:00Z,false
2024-01-30,111004,Remarketing - Display,ag_111004a,All Visitors,1220,92,216627907,5.1,12,2024-01-30T06:00:00Z,false
2024-01-31,111001,Brand - Search,ag_111001a,Brand Keywords,7298,558,745203642,22.1,20,2024-01-31T06:00:00Z,false
2024-01-31,111002,Competitor - Search,ag_111002a,Competitor Terms,4778,124,357826600,6.51,19,2024-01-31T06:00:00Z,false
2024-01-31,111003,Product - Search,ag_111003a,Product Keywords,2783,188,437667365,2.27,17,2024-01-31T06:00:00Z,false
2024-01-31,111004,Remarketing - Display,ag_111004a,All Visitors,7818,466,459561365,19.75,0,2024-01-31T06:00:00Z,false
2024-02-01,111001,Brand - Search,ag_111001a,Brand Keywords,7682,532,577196033,30.88,20,2024-02-01T06:00:00Z,false
2024-02-01,111002,Competitor - Search,ag_111002a,Competitor Terms,8332,520,1027423951,24.28,20,2024-02-01T06:00:00Z,false
2024-02-01,111003,Product - Search,ag_111003a,Product Keywords,5225,297,975041399,14.47,14,2024-02-01T06:00:00Z,false
2024-02-01,111004,Remarketing - Display,ag_111004a,All Visitors,7936,551,1322224490,14.39,7,2024-02-01T06:00:00Z,false
2024-02-02,111001,Brand - Search,ag_111001a,Brand Keywords,2219,81,163390397,3.85,18,2024-02-02T06:00:00Z,false
2024-02-02,111002,Competitor - Search,ag_111002a,Competitor Terms,10799,648,1106959526,22.5,10,2024-02-02T06:00:00Z,false
2024-02-02,111003,Product - Search,ag_111003a,Product Keywords,3779,186,326993098,4.26,8,2024-02-02T06:00:00Z,false
2024-02-02,111004,Remarketing - Display,ag_111004a,All Visitors,10567,655,1012580976,6.88,6,2024-02-02T06:00:00Z,false
2024-02-03,111001,Brand - Search,ag_111001a,Brand Keywords,2202,75,142301695,2.83,7,2024-02-03T06:00:00Z,false
2024-02-03,111002,Competitor - Search,ag_111002a,Competitor Terms,8600,505,1073234890,25.07,2,2024-02-03T06:00:00Z,false
2024-02-03,111003,Product - Search,ag_111003a,Product Keywords,5620,187,498883334,4.73,18,2024-02-03T06:00:00Z,false
2024-02-03,111004,Remarketing - Display,ag_111004a,All Visitors,6846,331,739284929,10.35,17,2024-02-03T06:00:00Z,false
2024-02-04,111001,Brand - Search,ag_111001a,Brand Keywords,6219,255,516403613,6.46,7,2024-02-04T06:00:00Z,false
2024-02-04,111002,Competitor - Search,ag_111002a,Competitor Terms,2776,175,289096403,8.25,5,2024-02-04T06:00:00Z,false
2024-02-04,111003,Product - Search,ag_111003a,Product Keywords,3938,129,271846367,5.96,16,2024-02-04T06:00:00Z,false
2024-02-04,111004,Remarketing - Display,ag_111004a,All Visitors,10577,391,418925412,7.7,7,2024-02-04T06:00:00Z,false
2024-02-05,111001,Brand - Search,ag_111001a,Brand Keywords,6712,206,172669321,7.56,8,2024-02-05T06:00:00Z,false
2024-02-05,111002,Competitor - Search,ag_111002a,Competitor Terms,1545,121,277582374,5.43,4,2024-02-05T06:00:00Z,false
2024-02-05,111003,Product - Search,ag_111003a,Product Keywords,11250,811,1723677077,43.5,18,2024-02-05T06:00:00Z,false
2024-02-05,111004,Remarketing - Display,ag_111004a,All Visitors,5458,262,521187627,5.04,1,2024-02-05T06:00:00Z,false
2024-02-06,111001,Brand - Search,ag_111001a,Brand Keywords,4936,377,787880539,19.27,12,2024-02-06T06:00:00Z,false
2024-02-06,111002,Competitor - Search,ag_111002a,Competitor Terms,8856,216,539892736,2.74,4,2024-02-06T06:00:00Z,false
2024-02-06,111003,Product - Search,ag_111003a,Product Keywords,10021,771,794121097,17.28,17,2024-02-06T06:00:00Z,false
2024-02-06,111004,Remarketing - Display,ag_111004a,All Visitors,7618,429,1259115103,9.13,16,2024-02-06T06:00:00Z,false
2024-02-07,111001,Brand - Search,ag_111001a,Brand Keywords,7032,330,658464414,17.49,13,2024-02-07T06:00:00Z,false
2024-02-07,111002,Competitor - Search,ag_111002a,Competitor Terms,5803,314,302263252,18.21,3,2024-02-07T06:00:00Z,false
2024-02-07,111003,Product - Search,ag_111003a,Product Keywords,4204,241,365005233,3.39,7,2024-02-07T06:00:00Z,false
2024-02-07,111004,Remarketing - Display,ag_111004a,All Visitors,3647,193,235969145,5.87,19,2024-02-07T06:00:00Z,false
2024-02-08,111001,Brand - Search,ag_111001a,Brand Keywords,8499,318,453145494,14.42,14,2024-02-08T06:00:00Z,false
2024-02-08,111002,Competitor - Search,ag_111002a,Competitor Terms,1966,120,395347178,5.93,20,2024-02-08T06:00:00Z,false
2024-02-08,111003,Product - Search,ag_111003a,Product Keywords,10463,624,2072244618,19.5,17,2024-02-08T06:00:00Z,false
2024-02-08,111004,Remarketing - Display,ag_111004a,All Visitors,4483,263,855462967,13.5,2,2024-02-08T06:00:00Z,false
2024-02-09,111001,Brand - Search,ag_111001a,Brand Keywords,1777,53,86419250,2.51,18,2024-02-09T06:00:00Z,false
2024-02-09,111002,Competitor - Search,ag_111002a,Competitor Terms,5528,256,528764037,6.45,12,2024-02-09T06:00:00Z,false
2024-02-09,111003,Product - Search,ag_111003a,Product Keywords,5260,263,561043985,3.69,1,2024-02-09T06:00:00Z,false
2024-02-09,111004,Remarketing - Display,ag_111004a,All Visitors,7878,504,1224733522,5.69,7,2024-02-09T06:00:00Z,false
2024-02-10,111001,Brand - Search,ag_111001a,Brand Keywords,11847,831,1955374241,47.82,8,2024-02-10T06:00:00Z,false
2024-02-10,111002,Competitor - Search,ag_111002a,Competitor Terms,10241,229,650801017,7.68,20,2024-02-10T06:00:00Z,false
2024-02-10,111003,Product - Search,ag_111003a,Product Keywords,8045,603,777882480,23.68,20,2024-02-10T06:00:00Z,false
2024-02-10,111004,Remarketing - Display,ag_111004a,All Visitors,8856,692,1431767421,21.05,10,2024-02-10T06:00:00Z,false
2024-02-11,111001,Brand - Search,ag_111001a,Brand Keywords,11779,309,381376174,9.45,15,2024-02-11T06:00:00Z,false
2024-02-11,111002,Competitor - Search,ag_111002a,Competitor Terms,5522,329,618921737,15.8,1,2024-02-11T06:00:00Z,false
2024-02-11,111003,Product - Search,ag_111003a,Product Keywords,8251,208,308147194,3.29,12,2024-02-11T06:00:00Z,false
2024-02-11,111004,Remarketing - Display,ag_111004a,All Visitors,9231,641,514792152,34.27,14,2024-02-11T06:00:00Z,false
2024-02-12,111001,Brand - Search,ag_111001a,Brand Keywords,7570,176,387162399,7.24,15,2024-02-12T06:00:00Z,false
2024-02-12,111002,Competitor - Search,ag_111002a,Competitor Terms,11046,513,481887469,11.98,4,2024-02-12T06:00:00Z,false
2024-02-12,111003,Product - Search,ag_111003a,Product Keywords,5519,255,684745145,4.1,20,2024-02-12T06:00:00Z,false
2024-02-12,111004,Remarketing - Display,ag_111004a,All Visitors,10775,732,1988414775,18.69,0,2024-02-12T06:00:00Z,false
2024-02-13,111001,Brand - Search,ag_111001a,Brand Keywords,9848,438,616130999,22.81,3,2024-02-13T06:00:00Z,false
2024-02-13,111002,Competitor - Search,ag_111002a,Competitor Terms,8360,642,1636339974,11.36,9,2024-02-13T06:00:00Z,false
2024-02-13,111003,Product - Search,ag_111003a,Product Keywords,9137,569,1093517813,19.42,15,2024-02-13T06:00:00Z,false
2024-02-13,111004,Remarketing - Display,ag_111004a,All Visitors,4793,227,270251062,4.43,19,2024-02-13T06:00:00Z,false
2024-02-14,111001,Brand - Search,ag_111001a,Brand Keywords,9127,591,690626365,7.97,13,2024-02-14T06:00:00Z,false
2024-02-14,111002,Competitor - Search,ag_111002a,Competitor Terms,6368,484,1050711594,24.7,9,2024-02-14T06:00:00Z,false
2024-02-14,111003,Product - Search,ag_111003a,Product Keywords,5691,399,943951461,17.16,4,2024-02-14T06:00:00Z,false
2024-02-14,111004,Remarketing - Display,ag_111004a,All Visitors,8116,424,734297888,15.94,17,2024-02-14T06:00:00Z,false
2024-02-15,111001,Brand - Search,ag_111001a,Brand Keywords,6980,330,550703619,6.41,7,2024-02-15T06:00:00Z,false
2024-02-15,111002,Competitor - Search,ag_111002a,Competitor Terms,10168,437,1359609710,13.35,10,2024-02-15T06:00:00Z,false
2024-02-15,111003,Product - Search,ag_111003a,Product Keywords,8549,532,1591107747,15.59,20,2024-02-15T06:00:00Z,false
2024-02-15,111004,Remarketing - Display,ag_111004a,All Visitors,3292,163,146692330,5.72,18,2024-02-15T06:00:00Z,false
2024-02-16,111001,Brand - Search,ag_111001a,Brand Keywords,6239,450,1422141304,14.41,16,2024-02-16T06:00:00Z,false
2024-02-16,111002,Competitor - Search,ag_111002a,Competitor Terms,8286,173,205734994,9.26,4,2024-02-16T06:00:00Z,false
2024-02-16,111003,Product - Search,ag_111003a,Product Keywords,2025,97,331434430,2.61,12,2024-02-16T06:00:00Z,false
2024-02-16,111004,Remarketing - Display,ag_111004a,All Visitors,11446,284,479144093,12.42,17,2024-02-16T06:00:00Z,false
2024-02-17,111001,Brand - Search,ag_111001a,Brand Keywords,7026,542,1350857918,29.47,15,2024-02-17T06:00:00Z,false
2024-02-17,111002,Competitor - Search,ag_111002a,Competitor Terms,9664,214,210733507,8.89,9,2024-02-17T06:00:00Z,false
2024-02-17,111003,Product - Search,ag_111003a,Product Keywords,4527,293,577714831,4.37,20,2024-02-17T06:00:00Z,false
2024-02-17,111004,Remarketing - Display,ag_111004a,All Visitors,2446,114,304813557,6.29,1,2024-02-17T06:00:00Z,false
2024-02-18,111001,Brand - Search,ag_111001a,Brand Keywords,6114,414,659126499,11.9,4,2024-02-18T06:00:00Z,false
2024-02-18,111002,Competitor - Search,ag_111002a,Competitor Terms,4800,248,577345430,12.31,5,2024-02-18T06:00:00Z,false
2024-02-18,111003,Product - Search,ag_111003a,Product Keywords,3668,90,283614022,3.69,7,2024-02-18T06:00:00Z,false
2024-02-18,111004,Remarketing - Display,ag_111004a,All Visitors,8953,669,793713537,22.12,8,2024-02-18T06:00:00Z,false
2024-02-19,111001,Brand - Search,ag_111001a,Brand Keywords,8329,294,242659681,14.77,9,2024-02-19T06:00:00Z,false
2024-02-19,111002,Competitor - Search,ag_111002a,Competitor Terms,11901,628,627640238,35.96,18,2024-02-19T06:00:00Z,false
2024-02-19,111003,Product - Search,ag_111003a,Product Keywords,5701,332,645950532,7.47,9,2024-02-19T06:00:00Z,false
2024-02-19,111004,Remarketing - Display,ag_111004a,All Visitors,4063,324,1005697859,4.97,12,2024-02-19T06:00:00Z,false
2024-02-20,111001,Brand - Search,ag_111001a,Brand Keywords,10170,422,674717001,18.97,0,2024-02-20T06:00:00Z,false
2024-02-20,111002,Competitor - Search,ag_111002a,Competitor Terms,11584,506,415863440,26.95,1,2024-02-20T06:00:00Z,false
2024-02-20,111003,Product - Search,ag_111003a,Product Keywords,10735,694,2115773530,38.27,7,2024-02-20T06:00:00Z,false
2024-02-20,111004,Remarketing - Display,ag_111004a,All Visitors,10746,731,1017049258,14.26,8,2024-02-20T06:00:00Z,false
2024-02-21,111001,Brand - Search,ag_111001a,Brand Keywords,11904,777,2231676937,34.22,4,2024-02-21T06:00:00Z,false
2024-02-21,111002,Competitor - Search,ag_111002a,Competitor Terms,11093,286,713323150,3.42,14,2024-02-21T06:00:00Z,false
2024-02-21,111003,Product - Search,ag_111003a,Product Keywords,1346,73,202748110,1.06,9,2024-02-21T06:00:00Z,false
2024-02-21,111004,Remarketing - Display,ag_111004a,All Visitors,6152,398,507142819,6.61,17,2024-02-21T06:00:00Z,false
2024-02-22,111001,Brand - Search,ag_111001a,Brand Keywords,6794,352,1149778020,18.14,8,2024-02-22T06:00:00Z,false
2024-02-22,111002,Competitor - Search,ag_111002a,Competitor Terms,8694,678,1082685936,36.29,3,2024-02-22T06:00:00Z,false
2024-02-22,111003,Product - Search,ag_111003a,Product Keywords,8473,658,776468912,38.38,12,2024-02-22T06:00:00Z,false
2024-02-22,111004,Remarketing - Display,ag_111004a,All Visitors,9931,416,1220893987,4.45,17,2024-02-22T06:00:00Z,false
2024-02-23,111001,Brand - Search,ag_111001a,Brand Keywords,2824,133,348012671,5.8,18,2024-02-23T06:00:00Z,false
2024-02-23,111002,Competitor - Search,ag_111002a,Competitor Terms,7042,488,1629328596,7.52,7,2024-02-23T06:00:00Z,false
2024-02-23,111003,Product - Search,ag_111003a,Product Keywords,8524,183,583300437,6.97,19,2024-02-23T06:00:00Z,false
2024-02-23,111004,Remarketing - Display,ag_111004a,All Visitors,4426,260,654053553,8.64,9,2024-02-23T06:00:00Z,false
