invoice_id;user_id;plan_id;plan_duration;transaction_date;subscription_price;discount_applied;fees_charged;amount_paid
bB0hHbodVH;j+H3REZUpx;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,97;$28,03
9R55+jJhL6;nldimvHveQ;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,97;$28,03
3nu0gMPY3w;zucQuJYnkd;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$3,09;$26,91
cK5bFY/bxa;qYz9Fxv1Ey;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
hjuvXJ3LZI;Z18VtJCbAF;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$3,09;$26,91
YsEtsA4V/2;zd8tYzstbL;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,97;$28,03
uM2hYa/8p7;g9fC/JkcvO;3ZksraziGv;Monthly;2022-04-01;$30,00;$7,50;$2,23;$20,27
O4bD9a39Sv;qxl8JWfP1U;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$3,09;$26,91
XNZj7tprT0;2Mby/BHSnl;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$3,09;$26,91
B5jLX/i7Ay;k45mM8yT6U;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,97;$28,03
so2T11/vf5;zCi+q4mnQt;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
TJyNS6J3RT;YvmEboMLC3;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$3,09;$26,91
Q5yUMVTNu4;q0bQ8d6gJx;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
dbf9ItJuVZ;FGx8RaVqtg;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$0,00;$30,00
f/IMjyWsRI;d++KVI6jBw;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$3,09;$26,91
kzYpC3l64U;qmh1m3hIka;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$2,64;$27,36
Rg1vPMyPvi;kpIvpJKpgJ;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,97;$28,03
p9yrkLSuyF;Sn8TZTC9bc;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$2,64;$27,36
RyEdlM1cNm;MPqLcu91m2;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
+Nm7bvjzoR;gY9H+M5Zmv;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,97;$28,03
SUWFLbBys/;jR2cR+TySt;3ZksraziGv;Monthly;2022-04-01;$30,00;$0,00;$1,67;$28,33
SXd/G8ZdSi;JYCQSLcw8C;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,97;$28,03
jpjVT08XhG;dslks3r/M6;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,67;$28,33
E4HNsRI6c7;DTe9EifDAg;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,67;$28,33
zIGdN5Wl85;BRe3oYFjcQ;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,97;$28,03
qmxXFn3eC2;kJovCs9C94;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,67;$28,33
ttypspBBvQ;//cjzQMmXr;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,67;$28,33
qkYc3n45va;Qa3SeE73uQ;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,97;$28,03
1Y8V/yBWz2;n86mp/G/mA;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,97;$28,03
X7/8ySSkJr;lC93zHxqaA;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$2,64;$27,36
FUCF9J5aRu;ncvho/YjSn;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,97;$28,03
Lw7MjD+XcK;xJmLk5vkUq;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$2,64;$27,36
ZK54eokkQZ;1X1Ovt/NFh;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,67;$28,33
DyjhKCJKpF;wUH93iDjH0;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,67;$28,33
W2p1X9dIL1;dlRM++FZh2;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$3,09;$26,91
855HOV0sxG;NqU6Fw/Dtu;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,67;$28,33
fY5UCxGrxR;HCpM/NTB7a;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$0,00;$30,00
AH3ODOj/hT;ZlDpQcmeVi;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,67;$28,33
SxxCV6uJjR;7FKd2Ar960;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$3,09;$26,91
Zs0uMeOkWk;SnieFLf1vn;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,97;$28,03
YLONZ7lDIs;Cp+a8iGmv9;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$0,00;$30,00
LHdTYmIKX+;FPukI8Oe5g;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,67;$28,33
28wmjjj3ip;akbFimgTPv;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,97;$28,03
rbH4y4+0HB;6EEOboDy4T;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,67;$28,33
Zqd/Rq7Ngu;70PL/xAX+g;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$3,09;$26,91
CR0h0qZ6tu;SkBSGNJYg3;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$2,64;$27,36
RHKaLHlvuU;GteZFrFcNR;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,97;$28,03
SsVs9EoIgT;pCpg2pe43W;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,67;$28,33
Sd5IKBo+om;PinjjQi8Il;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$2,64;$27,36
WzYxwd4IFd;FHBVi3JRHL;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$1,67;$28,33
v7p3F7rx7D;qMSi6Vpy5m;3ZksraziGv;Monthly;2022-04-02;$30,00;$0,00;$3,09;$26,91
jAYsRRpw9m;sFGI6B0qCL;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$2,64;$27,36
er2PapEY9y;1s2dYoZ37Y;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,67;$28,33
t8Yk9CoGL7;zGwx0Vs9zS;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,67;$28,33
iLaT3rq9af;9EhJK7atFs;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,67;$28,33
+A76m2doHb;ktGXe1ZJ+A;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,97;$28,03
Vttm0BJ82A;Iq3rwVfIgg;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$3,09;$26,91
rN56ho2mTV;Jx8ubKOZ4x;4tWDsR5/vb;Annual;2022-04-03;$275,00;$0,00;$14,28;$260,72
uZ6C3Fxly8;zX/vXI0tn6;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,97;$28,03
yuh2zPpDv9;AbMVelkrgy;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,67;$28,33
Z6Lrk437UQ;qcqHW4+mlT;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$2,64;$27,36
Ki2QwojO3Q;XcntNQBdaC;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,67;$28,33
9WD9cthR20;yDeonN2U8e;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$2,64;$27,36
NEIOQfeAAd;qZ2qKc9gWV;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,97;$28,03
bJTa0Hhsed;bqeaAhHnvW;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,67;$28,33
Nb9yNcn51q;xjk4JaGTpR;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,97;$28,03
vtH/HYha1R;tRJmY99g5d;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$0,00;$30,00
A7EmHm9eEl;KXD2BvF2JY;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$3,09;$26,91
1QVnWWC3kZ;jWd5mYUTCA;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,17;$28,83
eL3MDRF/lQ;iZkIhAOaAt;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,67;$28,33
dWYTTA6bbO;cs3RoZWoGs;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$3,09;$26,91
z5T9Ez5Ykv;ulefwIp204;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,67;$28,33
x/JKh0hQni;TeW/ffAlGK;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,67;$28,33
o1WBdWmZM1;tZ9IgshQG+;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$3,09;$26,91
bIlXPlMiIN;+wr61EQaMn;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$0,00;$30,00
k9QAKjoEp0;ZUDCfYvNxR;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,97;$28,03
t9AskF3EAE;+y48ebzdwP;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,97;$28,03
hhMmRrb4CI;W6H3yG+nwe;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,67;$28,33
vV8IDUYJsq;stejP9PWW9;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,97;$28,03
vLK76IVPer;LvC1RV+6Jx;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,67;$28,33
dbTJ+e0a2E;3nlBAenTHd;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$2,64;$27,36
gWWovqsPm6;/fL2KJDR/S;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$2,64;$27,36
sRUyHBRpki;MnMIzktGL4;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,67;$28,33
6JojGvDw+P;QIUnFZhpbh;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$3,09;$26,91
91sAyBDjsC;0sQMoQAW8H;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,67;$28,33
j8JsciSGdW;sCNNXgTbxd;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$1,67;$28,33
eIPdxm3GCV;FPjHRiH4zf;3ZksraziGv;Monthly;2022-04-03;$30,00;$0,00;$0,00;$30,00
nxl3OLce1M;Tlj5p4E5eI;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$2,64;$27,36
qQJZ6OnQ42;9hSVZD8sYp;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$2,64;$27,36
9ShoW3Nrty;Y/qON82GtJ;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,97;$28,03
YTQKhl6itd;v9GY1KIAHQ;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$2,64;$27,36
Bvp3wripg6;JMWsCTR8bj;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$2,64;$27,36
Mov2iXJz3G;f0CPA968+X;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,97;$28,03
6nB1Cgnu4l;4BGwKcvxvT;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,97;$28,03
Tss1duNthg;9J71Nx+nW9;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,97;$28,03
mYqmrgq0qc;lCvqYK+geb;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,67;$28,33
JntH2bAZeK;UksspTbR3Q;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,67;$28,33
n7HEWeFX7w;jDlYHcKyt7;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,67;$28,33
8cJG9WUjEt;0Lez+GRUIa;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,97;$28,03
B4tElkAgcq;I4tAPIy3GO;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,97;$28,03
Raj5u4OdAo;aabBTyLaod;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,97;$28,03
VRL1o8TSEw;Aqni94Bu7m;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,67;$28,33
nKoUIKJQ3u;9Rr1W8usvN;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,67;$28,33
kJXnRes8bq;7wqF2PNWHQ;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,17;$28,83
AhM5wqNaZu;9wsUTX2EC4;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,67;$28,33
nx97do4vs3;+ZKQc0x5Cm;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,67;$28,33
nlS4lbAk9x;1oMpEpIa1S;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,17;$28,83
L7ilzPE+y+;eq+X/fwEY4;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,67;$28,33
XRWPFMCgi3;CdEeK0EeeM;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,67;$28,33
td/9H3j8Rh;qWokNSYLiO;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$0,00;$30,00
EXbsFnzp6g;o2zzRRWtO3;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$0,00;$30,00
+ZugOW4vGX;UzHJ3Qz3hW;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$2,64;$27,36
khKNw7FTWt;yLGGboS2RQ;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,97;$28,03
7QWearV7lt;alLHsWNJ44;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,67;$28,33
ywpjRHbCdt;BeadyMQb4K;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$1,97;$28,03
1qm0KHpFpL;uy+XbVcJ5E;3ZksraziGv;Monthly;2022-04-04;$30,00;$0,00;$0,00;$30,00
Z1KBD+UD5V;GNmS7Am8n+;4tWDsR5/vb;Annual;2022-04-04;$275,00;$77,00;$6,04;$191,96
M+jMaLiaM4;VSJ7rNmwls;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$1,67;$28,33
LKW8CzOTr7;F/vnNHolJb;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$1,67;$28,33
TkH5kW7b/y;x3eFhko8jH;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$0,00;$30,00
/pxa+WZv3z;j+ihP4SIBq;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$0,00;$30,00
f52gD3JvKd;ABIQDRg6l7;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$3,09;$26,91
4WNJjlvZSO;xPvdk379EK;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$1,67;$28,33
6GBZSRIu97;YKNwxZNtkZ;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$1,67;$28,33
iMmiR/SRd0;6Q+lCW+x5i;4tWDsR5/vb;Annual;2022-04-05;$275,00;$77,00;$12,04;$185,96
J8bTc81wf7;bTVzeNjFvl;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$0,00;$30,00
6Npq59JRQ6;uBaPcpTJVZ;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$1,97;$28,03
6s+WiZ3itw;AkFEmeT3Si;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$1,67;$28,33
2BmxMUbGuv;KJQgM+ZuWZ;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$3,09;$26,91
SSxrFv6ZXO;41QydhEze+;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$1,97;$28,03
5Ur1e+Gddn;5p1MEYigPe;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$2,64;$27,36
J/DunIOT2/;RiJ1ZmOXhn;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$1,67;$28,33
8xyzZk6j37;kJMXeU53Ym;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$3,09;$26,91
w5jLNEUrxr;o1+N72ljC6;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$3,09;$26,91
VvHY67uE5h;/xr+h08vtV;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$1,67;$28,33
jQDcc4XfAZ;wNIDs2eiZW;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$1,67;$28,33
BkaD5LSJOD;+GMlDSfyMC;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$1,97;$28,03
4D5OIOa+jp;qEyA8V3xs3;4tWDsR5/vb;Annual;2022-04-05;$275,00;$77,00;$12,04;$185,96
0K9AqkBa0j;YaxuTZvrBt;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$2,64;$27,36
UV1mppB6l2;e4lzMmeTYD;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$2,64;$27,36
mEZ4RCJqQK;I5i85fy0IZ;4tWDsR5/vb;Annual;2022-04-05;$275,00;$77,00;$6,04;$191,96
g0Nha0tLGv;orQZ4kPz7n;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$2,64;$27,36
k5f04MT/pi;CbAoAM8e67;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$1,67;$28,33
27n6HROsGJ;w3K1IxICL2;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$3,09;$26,91
bl9V0o0OKV;B0J0RTAKGh;3ZksraziGv;Monthly;2022-04-05;$30,00;$0,00;$0,00;$30,00
zZO12u3WkC;7ksK6jhTET;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,67;$28,33
4oNKUWN/Te;dtyjP4aHlx;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$3,09;$26,91
rzHntVpqde;z5QuVR2qsp;4tWDsR5/vb;Annual;2022-04-06;$275,00;$77,00;$17,36;$180,64
+dEH9NiYHS;Jqxds/aWLb;4tWDsR5/vb;Annual;2022-04-06;$275,00;$77,00;$6,04;$191,96
VUXzriPKpw;6I13hrx4DE;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,97;$28,03
WeAntPIRU/;Csl7P4xZyf;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,97;$28,03
dvTlahzJZb;GcyMmP0tqv;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$2,64;$27,36
V1fvWdH3j2;vwY4sGmbA9;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,97;$28,03
mzaDA4z6PZ;VxfsYU0Xcv;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,97;$28,03
TZb9g6HxaY;WUs8u9GwSM;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,97;$28,03
4bam3m0ssX;GMEDPzwpwy;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$3,09;$26,91
vKy+aOJOwz;jcRKMHm4j+;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,67;$28,33
eMx3WSZoEJ;UIShQkcREG;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,67;$28,33
o1rBKZDCUn;xxy4sR/YUi;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$2,64;$27,36
8rs8JkT93e;+so5GmbQPP;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,67;$28,33
ujbWkYZKry;Mikz+QWh8h;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,67;$28,33
3v9GMT5/eW;qUwAC9ayJY;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,67;$28,33
YI7VFHdvCU;pGDlRSZngm;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$2,64;$27,36
Znd/o62Dvu;gtjBTY0u52;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,67;$28,33
+oCZucsRmL;UTaG/JcKRz;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,67;$28,33
6LXMoMl47F;MeWcShl1VB;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$2,64;$27,36
E3dH70PCC4;VthmyBsjRv;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,97;$28,03
EzaTbAWJMZ;eEq8T5s2Dp;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$3,09;$26,91
VWmv7tRgh1;iUhqyaTzWO;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,67;$28,33
XytOfp2HtG;y+pE0uAP5s;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,97;$28,03
x+aBrgCXID;g3M+IL5mPe;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$0,00;$30,00
MV6wRVmIYR;ngqxUTF/Cg;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$2,64;$27,36
BxqmYqePI6;9CGIY5YUP0;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,97;$28,03
S5wH4f4unW;XPzdfnAw3H;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$2,64;$27,36
rRrPmx0ILG;qmBg73JaR8;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$3,09;$26,91
cuwvBhmupT;08VVYGDaRZ;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,97;$28,03
c8Sczlsm+v;iyksdHxIpr;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,47;$28,53
okGfJB9qIr;tk5mTxO6SP;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$0,00;$30,00
3DZT1t0O/T;NNHc1g3MkB;4tWDsR5/vb;Annual;2022-04-06;$275,00;$77,00;$12,04;$185,96
NseDhP/1pZ;tfwCsoD30y;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,97;$28,03
ZoPHmBr08o;RdsYwf2Yfv;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$0,00;$30,00
6is9Ajon4r;jvCToUPf5b;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,97;$28,03
BXe+NJwvr6;60Kp3wIza9;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,47;$28,53
ep/CHBm7iq;uo2QKFkbht;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,67;$28,33
CUDN/irPVt;PhPFU3/YpV;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,67;$28,33
ox3ktE9geB;BWlS0fqEMN;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$1,97;$28,03
rjXIbCGwoR;ZTZ1SCEgXD;3ZksraziGv;Monthly;2022-04-06;$30,00;$0,00;$3,09;$26,91
B5VmrmZuu0;obMW/qoDI9;3ZksraziGv;Monthly;2022-04-07;$30,00;$0,00;$0,00;$30,00
DdnIMzzUb0;nXCzcsEcyG;3ZksraziGv;Monthly;2022-04-07;$30,00;$0,00;$0,00;$30,00
rq3wD3nTFs;46N2vdklFt;4tWDsR5/vb;Annual;2022-04-07;$275,00;$0,00;$14,28;$260,72
I2S99IqbO4;KfUL8S/QvQ;3ZksraziGv;Monthly;2022-04-07;$30,00;$0,00;$3,09;$26,91
8ozBv8Lsm+;XsxlQNo9fE;3ZksraziGv;Monthly;2022-04-07;$30,00;$7,50;$2,56;$19,94
